case_name,target_pct,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual
dd0714_tp060_pos84,0.84,0.05,0.09,0.03,0.7,0.5,4.349893217790779,1.927735322016096,0.3618369394067878,0.3466091285714288,0.5100306547841207,1.126835661430797,0.19055246751058819,1.3174292787030715,1.732789486852097
dd0714_tp060_pos86,0.86,0.05,0.09,0.03,0.7,0.5,4.558365195146958,1.9124285440529118,0.3689226441618959,0.35524029183673456,0.5565653243136334,1.1822989564213118,0.1877438925704331,1.6738154839399872,1.8114845518028804
dd0714_tp060_pos88,0.88,0.05,0.09,0.03,0.7,0.5,4.171679775439798,1.8535916191020987,0.37601798914000606,0.3623278714285714,0.4937880958241131,1.0454604420585467,0.19148617230872758,1.6125329279907354,1.7790562066541058
dd0714_tp060_pos90,0.9,0.05,0.09,0.03,0.7,0.5,4.316926991769848,1.8279436007421714,0.38286510637238164,0.36981153061224514,0.5069009321993908,1.0467409679164859,0.19487354369100504,1.6089131699215828,1.7902410320482618
dd0714_tp060_pos91,0.91,0.05,0.09,0.03,0.7,0.5,4.432271623798475,1.825056429513388,0.38642086234352774,0.37398541020408144,0.5180861376281323,1.054913035238342,0.19654761751254848,1.6261782928615978,1.8266361203802985
dd0714_tp060_pos92,0.92,0.05,0.09,0.03,0.7,0.5,4.553230591043612,1.8179889166478163,0.3899025937479458,0.3774494204081631,0.5117217029300554,1.0298988340676072,0.19965836270677692,1.6460806598539697,1.8482707578156317
dd0714_tp060_pos93,0.93,0.05,0.09,0.03,0.7,0.5,4.654325060887072,1.812522091669128,0.393267613879819,0.3812619040816327,0.5187115642481619,1.0309700417757999,0.20124428294008573,1.6633632494841295,1.8832881311333376
dd0714_tp060_pos94,0.94,0.05,0.09,0.03,0.7,0.5,4.8712844383785665,1.8425187985584124,0.3965911706056802,0.384073957142857,0.5582670723794133,1.122179751864926,0.19731717639601587,1.7064271196485048,1.9817926910940302
dd0714_tp060_pos95,0.95,0.05,0.09,0.03,0.7,0.5,5.002390717424427,1.8389445044110055,0.4000495108426735,0.3881876979591835,0.5630259579381691,1.1192012656334671,0.19889968646249254,1.7253227307547419,2.013717156047458
dd0714_tp060_pos96,0.96,0.05,0.09,0.03,0.7,0.5,5.112932789225199,1.8304031220888939,0.40332108505345216,0.3921581571428572,0.5655250183358986,1.1093282378881584,0.20201889551425753,1.7436767475233632,2.0422906479194816
