case_name,target_pct,exit_ratio,continue_ratio,holding_days,max_holding_days,stop_loss,take_profit,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,late_max_drawdown_max,signal_rows,signal_days,latest_signal_date,latest_buy_date
base_pos89_e970_c980_mh3_sl06_tp06_dd0712,0.89,0.97,0.98,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.2106220041486875,1.9259058942150682,0.3690872299196546,0.3743674734693878,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.2067386708902125,496,496,20260622,20260623
exit_e965,0.89,0.965,0.98,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.2106220041486875,1.9259058942150682,0.3690872299196546,0.3743674734693878,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.2067386708902125,496,496,20260622,20260623
exit_e975,0.89,0.975,0.98,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,5.592412419387189,1.9063022011160176,0.3690733576555185,0.37770229591836735,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.2067386708902125,496,496,20260622,20260623
continue_c975,0.89,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.61975206940167,1.9677640823602742,0.3690872299196546,0.37804402857142866,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.206884253564409,496,496,20260622,20260623
continue_c985,0.89,0.97,0.985,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.3799747981147075,1.980543803628752,0.37394925897448517,0.36842652857142844,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.989009065657553,2.0474901266769074,0.20668569063473616,496,496,20260622,20260623
hold_mh2,0.89,0.97,0.98,2,2,0.06,0.06,0.07,0.12,0.03,0.7,0.5,1.5089260715381665,0.8316959811191262,0.44472668798845505,0.22601446122448982,-0.9112293166884109,-2.5229968056039866,0.27781611305484943,0.1609416735329653,0.6919264497562968,0.34565172261143495,496,496,20260622,20260623
hold_mh4,0.89,0.97,0.98,2,4,0.06,0.06,0.07,0.12,0.03,0.7,0.5,4.52411806659708,1.5560194122747142,0.3502078079299683,0.41212072448979586,-0.5509060127408243,-2.041413485356681,0.2468026278156969,0.07511254622981284,1.0251085432819191,0.24835624503501055,496,496,20260622,20260623
stop_sl05,0.89,0.97,0.98,2,3,0.05,0.06,0.07,0.12,0.03,0.7,0.5,6.213720689759018,1.9267392403525936,0.3690872299196546,0.37436638163265323,0.5089515340588466,1.0283828437229927,0.20607942619533964,1.6744246418510733,1.8261100168220052,0.206730110390121,496,496,20260622,20260623
stop_sl07,0.89,0.97,0.98,2,3,0.07,0.06,0.07,0.12,0.03,0.7,0.5,6.0988199093936,1.917168890554296,0.3690872299196546,0.3743892469387755,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.2067386708902125,496,496,20260622,20260623
take_tp05,0.89,0.97,0.98,2,3,0.06,0.05,0.07,0.12,0.03,0.7,0.5,5.009947356470659,1.8574743987583553,0.36905993398154574,0.3652124224489796,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.736874862719793,0.2067386708902125,496,496,20260622,20260623
take_tp07,0.89,0.97,0.98,2,3,0.06,0.07,0.07,0.12,0.03,0.7,0.5,6.570740611654516,1.9544666885574613,0.36909415491667646,0.38828809795918356,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.8060661571854664,0.20676789066145,496,496,20260622,20260623
dd0611,0.89,0.97,0.98,2,3,0.06,0.06,0.06,0.11,0.03,0.7,0.5,5.759829615303549,1.9144207636383637,0.38703341752649667,0.37238358367346946,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6786140612171925,1.8398848807603085,0.20684514231284665,496,496,20260622,20260623
dd0813,0.89,0.97,0.98,2,3,0.06,0.06,0.08,0.13,0.03,0.7,0.5,6.289918048036017,1.9161017441473291,0.3691362446497818,0.38559475714285696,0.4784951649622235,0.9609268095157362,0.21138045907183242,1.675824908158405,1.96487631006078,0.21186840800466397,496,496,20260622,20260623
