case_name,target_pct,exit_ratio,continue_ratio,holding_days,max_holding_days,stop_loss,take_profit,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,late_max_drawdown_max,signal_rows,signal_days,latest_signal_date,latest_buy_date
c975_tp070,0.89,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.7,0.5,7.000706890387421,1.9946529276253473,0.36909415491667646,0.39195102244897956,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.8060661571854664,0.20676789066145,496,496,20260622,20260623
c9725_tp070,0.89,0.97,0.9725,2,3,0.06,0.07,0.07,0.12,0.03,0.7,0.5,7.000706890387421,1.9946529276253473,0.36909415491667646,0.39195102244897956,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.8060661571854664,0.20676789066145,496,496,20260622,20260623
c975_dd0813,0.89,0.97,0.975,2,3,0.06,0.06,0.08,0.13,0.03,0.7,0.5,6.704610901308719,1.958003260603644,0.3691362446497818,0.3892497387755106,0.4784951649622235,0.9609268095157362,0.21138045907183242,1.675824908158405,1.96487631006078,0.2117934383842837,496,496,20260622,20260623
base_c975_pos89_tp060_sl060_dd0712,0.89,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.61975206940167,1.9677640823602742,0.3690872299196546,0.37804402857142866,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.206884253564409,496,496,20260622,20260623
c970,0.89,0.97,0.97,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.61975206940167,1.9677640823602742,0.3690872299196546,0.37804402857142866,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.206884253564409,496,496,20260622,20260623
c9725,0.89,0.97,0.9725,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.61975206940167,1.9677640823602742,0.3690872299196546,0.37804402857142866,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.206884253564409,496,496,20260622,20260623
c975_sl055,0.89,0.97,0.975,2,3,0.055,0.06,0.07,0.12,0.03,0.7,0.5,6.61975206940167,1.9677640823602742,0.3690872299196546,0.37804402857142866,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.206884253564409,496,496,20260622,20260623
c9775_tp070,0.89,0.97,0.9775,2,3,0.06,0.07,0.07,0.12,0.03,0.7,0.5,6.570740611654516,1.9544666885574613,0.36909415491667646,0.38828809795918356,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.8060661571854664,0.20676789066145,496,496,20260622,20260623
c975_pos90,0.9,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.559526308230252,1.9408117229067479,0.3725054702795722,0.3816650081632656,0.5113670230524359,1.0200704564476335,0.20786273492007945,1.69189145601564,1.8497955486479891,0.20874664745646795,496,496,20260622,20260623
c975_tp065,0.89,0.97,0.975,2,3,0.06,0.065,0.07,0.12,0.03,0.7,0.5,6.539307947949997,1.9592970936620147,0.3690872299196546,0.3811252081632652,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.8060661571854664,0.20676789066145,496,496,20260622,20260623
c975_sl065,0.89,0.97,0.975,2,3,0.065,0.06,0.07,0.12,0.03,0.7,0.5,6.503941956129582,1.960174930434449,0.3690872299196546,0.37806532448979596,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.206884253564409,496,496,20260622,20260623
c975_pos90_tp070,0.9,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.7,0.5,6.452572368580092,1.9498215106049266,0.3905017951799518,0.3925087122448981,0.5113670230524359,1.0200704564476335,0.20786273492007945,1.69189145601564,1.8735950204819902,0.20889319180031723,496,496,20260622,20260623
c975_pos88,0.88,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.3766799974635795,1.9565149460195541,0.3657035683364417,0.37450042244897985,0.46873020759953454,0.9530369500849901,0.20952360554814767,1.629091440460544,1.7765562527189036,0.20985364070877507,496,496,20260622,20260623
c9775,0.89,0.97,0.9775,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.2106220041486875,1.9259058942150682,0.3690872299196546,0.3743674734693878,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.2067386708902125,496,496,20260622,20260623
c980,0.89,0.97,0.98,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.2106220041486875,1.9259058942150682,0.3690872299196546,0.3743674734693878,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.824660323516139,0.2067386708902125,496,496,20260622,20260623
c975_dd0611,0.89,0.97,0.975,2,3,0.06,0.06,0.06,0.11,0.03,0.7,0.5,6.141771940532912,1.957573025108724,0.38703341752649667,0.3760237000000003,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6786140612171925,1.8398848807603085,0.20674781916602508,496,496,20260622,20260623
c975_pos91,0.91,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.7,0.5,6.135520407817108,1.912206685749661,0.3940769912537075,0.38475972857142865,0.5211813224617768,1.0254562907199816,0.2096846006029986,1.714221004997752,1.8740086008595693,0.21109320920524197,496,496,20260622,20260623
c975_tp075,0.89,0.97,0.975,2,3,0.06,0.075,0.07,0.12,0.03,0.7,0.5,5.463434409734331,1.9314057014593669,0.37754340154071364,0.37510916530612254,0.5326325746779911,1.077179181369229,0.2059086118913938,1.697660790577275,1.8212761519629357,0.20690032886261225,496,496,20260622,20260623
c975_scale060040,0.89,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.6,0.4,5.19680876960813,1.9274811022006058,0.325645436620652,0.35348440816326515,0.5568404475797172,1.1630234451445163,0.19448631996391894,1.3476985358285267,1.728075475105774,0.19463080611705602,496,496,20260622,20260623
c975_scale080060,0.89,0.97,0.975,2,3,0.06,0.06,0.07,0.12,0.03,0.8,0.6,7.4104630563550975,1.9347097454028128,0.4103631239322569,0.40460765102040813,0.4235187701174633,0.8211897584583461,0.2228861105713399,1.7219330699161957,1.9762435626897836,0.22385215222822602,496,496,20260622,20260623
