tag,start,end,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_file,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points,anchor,offset,start_date,start_time
nearby_20250701_m3_20250626,2025-06-26 09:00:00,2026-06-23 15:30:00,0,2.9556912032120084,2.9394956349752306,2.402004267430254,0.20363172894928103,0.6018518518518519,109,108,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_m3_20250626.log,0.44018179059829077,0.32905982905982906,1,234,20250701,-3,20250626,2025-06-26 09:00:00
nearby_20250701_m2_20250627,2025-06-27 09:00:00,2026-06-23 15:30:00,0,3.1615108564110677,3.135525835673443,2.459407322014384,0.20349757870871624,0.6018518518518519,109,108,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_m2_20250627.log,0.4386490901287555,0.3261802575107296,1,233,20250701,-2,20250627,2025-06-27 09:00:00
nearby_20250701_m1_20250630,2025-06-30 09:00:00,2026-06-23 15:30:00,0,2.964690623805686,2.9159559834143596,2.407984848351576,0.20375920110724682,0.6018518518518519,109,108,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_m1_20250630.log,0.43997299137931034,0.3275862068965517,1,232,20250701,-1,20250630,2025-06-30 09:00:00
nearby_20250701_0_20250701,2025-07-01 09:00:00,2026-06-23 15:30:00,0,2.981805633854296,2.9246203203283234,2.4139911766132784,0.20373016088246154,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_0_20250701.log,0.4377883116883118,0.3246753246753247,1,231,20250701,0,20250701,2025-07-01 09:00:00
nearby_20250701_1_20250702,2025-07-02 09:00:00,2026-06-23 15:30:00,0,3.1930715534366834,3.1230864234983446,2.47443370957974,0.20360729088419094,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_1_20250702.log,0.4402510869565215,0.32608695652173914,1,230,20250701,1,20250702,2025-07-02 09:00:00
nearby_20250701_2_20250703,2025-07-03 09:00:00,2026-06-23 15:30:00,0,2.9748554185643323,2.901502819202472,2.420396002068592,0.20387577295827894,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_2_20250703.log,0.43753082096069884,0.3231441048034934,1,229,20250701,2,20250703,2025-07-03 09:00:00
nearby_20250701_3_20250704,2025-07-04 09:00:00,2026-06-23 15:30:00,0,2.9666123007847647,2.8853352514481956,2.4232811680791357,0.20349350170224834,0.5943396226415094,107,106,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20250701_3_20250704.log,0.43520784210526303,0.3201754385964912,1,228,20250701,3,20250704,2025-07-04 09:00:00
nearby_20251009_m3_20250926,2025-09-26 09:00:00,2026-06-23 15:30:00,0,1.6366628462927237,1.2151661132748717,2.228937606543499,0.2030903879168591,0.5769230769230769,79,78,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_m3_20250926.log,0.45040497023809534,0.35119047619047616,1,168,20251009,-3,20250926,2025-09-26 09:00:00
nearby_20251009_m2_20250929,2025-09-29 09:00:00,2026-06-23 15:30:00,0,1.5245115854770634,1.1193674107064466,2.1577394215827774,0.2033569802458424,0.5714285714285714,78,77,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_m2_20250929.log,0.45312670658682663,0.3532934131736527,1,167,20251009,-2,20250929,2025-09-29 09:00:00
nearby_20251009_m1_20250930,2025-09-30 09:00:00,2026-06-23 15:30:00,0,1.5783353838667162,1.154563143814831,2.19489535317444,0.20374883396773946,0.5789473684210527,77,76,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_m1_20250930.log,0.45030046385542183,0.3493975903614458,1,166,20251009,-1,20250930,2025-09-30 09:00:00
nearby_20251009_0_20251009,2025-10-09 09:00:00,2026-06-23 15:30:00,0,1.9918908118535918,1.4079666560499362,2.4226481459755203,0.20364928339247584,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_0_20251009.log,0.4489215636363637,0.34545454545454546,1,165,20251009,0,20251009,2025-10-09 09:00:00
nearby_20251009_1_20251010,2025-10-10 09:00:00,2026-06-23 15:30:00,0,1.735785980280915,1.222183553238891,2.26822744883393,0.20371209723837896,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_1_20251010.log,0.4499322439024389,0.3475609756097561,1,164,20251009,1,20251010,2025-10-10 09:00:00
nearby_20251009_2_20251013,2025-10-13 09:00:00,2026-06-23 15:30:00,0,1.7559799511569603,1.2219696098462136,2.2775869006030516,0.20372918153414465,0.589041095890411,74,73,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_2_20251013.log,0.45279547852760726,0.3496932515337423,1,163,20251009,2,20251013,2025-10-13 09:00:00
nearby_20251009_3_20251014,2025-10-14 09:00:00,2026-06-23 15:30:00,0,1.6970063932044153,1.1762811437827865,2.2434339449964438,0.20349146627370648,0.581081081081081,75,74,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20251009_3_20251014.log,0.44938094444444454,0.345679012345679,1,162,20251009,3,20251014,2025-10-14 09:00:00
nearby_20260105_m3_20251229,2025-12-29 09:00:00,2026-06-23 15:30:00,0,2.4999573667874877,1.2123080929353023,2.852342889635742,0.2031282624290797,0.64,51,50,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20260105_m3_20251229.log,0.4449140092592594,0.35185185185185186,1,108,20260105,-3,20251229,2025-12-29 09:00:00
nearby_20260105_m2_20251230,2025-12-30 09:00:00,2026-06-23 15:30:00,0,2.216321170255137,1.0686918519586415,2.7021876082790186,0.20323194072040593,0.6326530612244898,50,49,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\signals\pos94_sl07tp07_dd0510_s7050.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_sl07_dd0510_pos94_tp070_validation_20260624\logs\nearby_20260105_m2_20251230.log,0.4495769719626169,0.35514018691588783,1,107,20260105,-2,20251230,2025-12-30 09:00:00
