name,date,month,quarter,nav,daily_return,invested_pct,active_positions
base_h7_tp10925,20240611,202406,2024Q2,608945.35,,0.900606,8
base_h7_tp10925,20240612,202406,2024Q2,613004.09,0.006665195817654235,0.781579,7
base_h7_tp10925,20240613,202406,2024Q2,636794.71,0.0388098878752996,0.882578,8
base_h7_tp10925,20240614,202406,2024Q2,625294.17,-0.018060043243763646,0.908235,8
base_h7_tp10925,20240617,202406,2024Q2,630972.09,0.009080398110860255,0.884874,8
base_h7_tp10925,20240618,202406,2024Q2,631851.38,0.0013935481678755135,0.861152,8
base_h7_tp10925,20240619,202406,2024Q2,651323.7,0.030817879989436747,0.758277,7
base_h7_tp10925,20240620,202406,2024Q2,654064.9,0.004208659995022623,0.853567,8
base_h7_tp10925,20240621,202406,2024Q2,639131.53,-0.022831633374608584,0.853507,8
base_h7_tp10925,20240624,202406,2024Q2,634911.6,-0.00660260025037418,0.750382,7
base_h7_tp10925,20240625,202406,2024Q2,607209.59,-0.0436312866232087,0.861726,8
base_h7_tp10925,20240626,202406,2024Q2,619117.4,0.0196107080588106,0.876231,8
base_h7_tp10925,20240627,202406,2024Q2,628577.71,0.015280316786444592,0.89682,8
base_h7_tp10925,20240628,202406,2024Q2,620255.47,-0.013239794965048901,0.889604,8
base_h7_tp10925,20240701,202407,2024Q3,619797.84,-0.0007378088902626478,0.891089,8
base_h7_tp10925,20240702,202407,2024Q3,629811.12,0.01615571941973859,0.87994,8
base_h7_tp10925,20240703,202407,2024Q3,659091.06,0.046490033392868835,0.890255,8
base_h7_tp10925,20240704,202407,2024Q3,683213.65,0.03659978334404945,0.858264,8
base_h7_tp10925,20240705,202407,2024Q3,659472.06,-0.03474987655764772,0.85312,8
base_h7_tp10925,20240708,202407,2024Q3,686427.15,0.04087374073133576,0.862789,8
base_h7_tp10925,20240709,202407,2024Q3,663654.1,-0.03317620813803768,0.746039,7
base_h7_tp10925,20240710,202407,2024Q3,657673.3,-0.009011923530646393,0.758982,7
base_h7_tp10925,20240711,202407,2024Q3,659925.55,0.0034245726563628676,0.855963,8
base_h7_tp10925,20240712,202407,2024Q3,683195.6,0.035261629133771066,0.870339,8
base_h7_tp10925,20240715,202407,2024Q3,690063.47,0.01005256766876128,0.870731,8
base_h7_tp10925,20240716,202407,2024Q3,692785.93,0.0039452312987964255,0.736298,7
base_h7_tp10925,20240717,202407,2024Q3,706420.13,0.019680249568578834,0.875445,8
base_h7_tp10925,20240718,202407,2024Q3,709912.96,0.0049444089312686845,0.883659,8
base_h7_tp10925,20240719,202407,2024Q3,705433.24,-0.006310238370630605,0.870537,8
base_h7_tp10925,20240722,202407,2024Q3,717868.84,0.01762831589846825,0.882443,8
base_h7_tp10925,20240723,202407,2024Q3,732505.62,0.02038921204603339,0.879623,8
base_h7_tp10925,20240724,202407,2024Q3,735589.04,0.004209414802851752,0.774118,7
base_h7_tp10925,20240725,202407,2024Q3,731398.77,-0.00569648237282061,0.731148,7
base_h7_tp10925,20240726,202407,2024Q3,732197.67,0.0010922905981918252,0.729619,7
base_h7_tp10925,20240729,202407,2024Q3,739824.29,0.01041606701643838,0.630147,6
base_h7_tp10925,20240730,202407,2024Q3,743120.04,0.00445477398423888,0.535315,5
base_h7_tp10925,20240731,202407,2024Q3,749464.73,0.008537907280767199,0.643977,6
base_h7_tp10925,20240801,202408,2024Q3,772260.97,0.030416694859009663,0.54995,5
base_h7_tp10925,20240802,202408,2024Q3,795051.2,0.029511047282371417,0.659973,6
base_h7_tp10925,20240805,202408,2024Q3,771367.7,-0.029788647573892102,0.877128,8
base_h7_tp10925,20240806,202408,2024Q3,770049.75,-0.0017085885239943588,0.856052,8
base_h7_tp10925,20240807,202408,2024Q3,808725.92,0.05022554711562477,0.879789,8
base_h7_tp10925,20240808,202408,2024Q3,806835.44,-0.002337602830882579,0.887063,8
base_h7_tp10925,20240809,202408,2024Q3,820855.55,0.017376666052249856,0.894548,8
base_h7_tp10925,20240812,202408,2024Q3,804867.56,-0.019477227144288678,0.885757,8
base_h7_tp10925,20240813,202408,2024Q3,778629.88,-0.0325987545081331,0.889093,8
base_h7_tp10925,20240814,202408,2024Q3,786267.36,0.009808870936214298,0.887437,8
