month,signals,buy_days,avg_pred,min_pred,primary_ratio,avg_rank
202406,85,17,2.395489509921926,1.9776684330052992,0.4,3.0
202407,107,23,2.4088752437375733,1.9926695635745324,0.411214953271028,2.850467289719626
202408,105,22,2.405002202727333,1.9885326291965297,0.4095238095238095,2.9047619047619047
202409,93,19,2.378606621897149,1.9767187794311547,0.3870967741935484,2.956989247311828
202410,87,18,2.356485425274149,1.969248162803844,0.367816091954023,2.942528735632184
202411,105,21,2.368514996449123,1.9770923453075042,0.38095238095238093,3.0
202412,105,22,2.4076997312604353,1.970576093075624,0.41904761904761906,2.9047619047619047
202501,83,18,2.3760603038980666,1.9701123595505619,0.3855421686746988,2.8674698795180724
202502,88,18,2.4025859600507307,1.977043673012318,0.4090909090909091,2.9545454545454546
202503,104,21,2.3971452977628145,1.9850857568978375,0.40384615384615385,2.980769230769231
202504,104,21,2.3803645506516764,1.9663499161542761,0.3942307692307692,2.980769230769231
202505,95,19,2.3912178185701176,1.9834418604651163,0.4,3.0
202506,100,20,2.393809981095517,1.989316955146101,0.4,3.0
202507,115,23,2.3940587104082405,1.9818080564321514,0.4,3.0
202508,105,21,2.3343269676326868,1.412777777777778,0.4,3.0
202509,108,22,2.3977866295233556,1.9808731039585645,0.4074074074074074,2.962962962962963
202510,85,17,2.3864171223724426,1.9728513463666544,0.4,3.0
202511,100,20,2.386105535839271,1.977110210099521,0.4,3.0
202512,114,23,2.360109852760746,1.5971355123026074,0.40350877192982454,2.982456140350877
202601,100,20,2.068394310579886,1.634806528516413,0.3,3.0
202602,70,14,1.9876690424804415,1.6097275553117572,0.2,3.0
202603,110,22,2.1709788046081964,1.608118486012068,0.21818181818181817,3.0
202604,105,21,2.2663275327135075,1.932845111680703,0.3047619047619048,3.0
202605,90,18,2.175961615302165,1.904722121322194,0.2222222222222222,3.0
202606,70,14,2.3262047285090315,1.8681801670904468,0.4,3.0
