name,open_score_exit,target_pct,score_exit_ratio,min_hold_score_exit,max_daily_sells,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
tp105_exit100_mh3,1,0.105,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp105_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp105_exit100_mh3.log,1.6586043178427075,1.8662552962396994,0.21067456340350102,0.6012269938650306,499,489,2433,494,0.8056300040160643,0.8132530120481928,10,498
tp106_exit100_mh3,1,0.106,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp106_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp106_exit100_mh3.log,1.6849878104198284,1.8613224388051133,0.21268682234825328,0.6012269938650306,499,489,2433,494,0.8124990060240967,0.8132530120481928,10,498
tp106_exit095_mh3,1,0.106,0.95,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp106_exit095_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp106_exit095_mh3.log,1.6722648351725597,1.858163483869483,0.2126350521301065,0.6032719836400818,499,489,2433,494,0.8125427409638546,0.8112449799196787,10,498
tp107_exit100_mh3,1,0.107,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp107_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp107_exit100_mh3.log,1.7068028015384056,1.8543365896665516,0.21432450716843926,0.6012269938650306,499,489,2433,494,0.8196308192771083,0.8132530120481928,10,498
tp107_exit095_mh3,1,0.107,0.95,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp107_exit095_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp107_exit095_mh3.log,1.696484862652166,1.8517942251087025,0.21440431247948255,0.6032719836400818,499,489,2433,494,0.8194770562248997,0.8112449799196787,10,498
exit105_mh3,1,0.1081,1.05,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit105_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit105_mh3.log,1.7341881607174816,1.8468647760736236,0.21648548684597613,0.6012269938650306,499,489,2433,494,0.827366473895582,0.8132530120481928,10,498
exit102_mh3,1,0.1081,1.02,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit102_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit102_mh3.log,1.7341881607174816,1.8468647760736232,0.21648548684597613,0.6012269938650306,499,489,2433,494,0.827366473895582,0.8132530120481928,10,498
exit100_mh3,1,0.1081,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit100_mh3.log,1.7341881607174816,1.846864776073623,0.21648548684597613,0.6012269938650306,499,489,2433,494,0.827366473895582,0.8132530120481928,10,498
exit095_mh3,1,0.1081,0.95,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit095_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit095_mh3.log,1.72405248453864,1.84482159493413,0.21650387364479465,0.6032719836400818,499,489,2433,494,0.8273726847389552,0.8112449799196787,10,498
exit090_mh3,1,0.1081,0.9,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit090_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit090_mh3.log,1.72405248453864,1.84482159493413,0.21650387364479465,0.6032719836400818,499,489,2433,494,0.8273726847389552,0.8112449799196787,10,498
exit098_mh3,1,0.1081,0.98,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit098_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit098_mh3.log,1.72405248453864,1.84482159493413,0.21650387364479465,0.6032719836400818,499,489,2433,494,0.8273726847389552,0.8112449799196787,10,498
exit092_mh3,1,0.1081,0.92,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit092_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit092_mh3.log,1.72405248453864,1.8448215949341298,0.21650387364479465,0.6032719836400818,499,489,2433,494,0.8273726847389552,0.8112449799196787,10,498
tp1085_exit100_mh3,1,0.1085,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1085_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1085_exit100_mh3.log,1.7447324755053983,1.843694203134687,0.21708075332902563,0.6012269938650306,499,489,2433,494,0.8304065140562242,0.8132530120481928,10,498
tp1088_exit100_mh3,1,0.1088,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1088_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1088_exit100_mh3.log,1.749140599189788,1.8414531274796364,0.2177654618299813,0.6012269938650306,499,489,2433,494,0.832205102409639,0.8132530120481928,10,498
tp109_exit100_mh3,1,0.109,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp109_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp109_exit100_mh3.log,1.7508624287481969,1.8392457065976024,0.21817838629662953,0.6012269938650306,499,489,2433,494,0.8333510200803217,0.8132530120481928,10,498
exit090_mh4,1,0.1081,0.9,4,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit090_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit090_mh4.log,1.6995837536645158,1.8376052840898638,0.21653999809446509,0.6004098360655737,498,488,2433,494,0.828870853413655,0.821285140562249,10,498
exit095_mh4,1,0.1081,0.95,4,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit095_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit095_mh4.log,1.6995837536645158,1.8376052840898636,0.21653999809446509,0.6004098360655737,498,488,2433,494,0.828870853413655,0.821285140562249,10,498
exit100_mh4,1,0.1081,1.0,4,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit100_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit100_mh4.log,1.6995837536645158,1.8376052840898633,0.21653999809446509,0.6004098360655737,498,488,2433,494,0.828870853413655,0.821285140562249,10,498
open_exit0,0,0.1081,0.95,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\open_exit0.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\open_exit0.log,1.643306318471627,1.8233489076681548,0.2164976855902426,0.5954825462012321,497,487,2433,494,0.8288841345381525,0.8192771084337349,10,498
equity_dd_mild,1,0.1081,0.95,2,1,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\equity_dd_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\equity_dd_mild.log,1.612070925179728,1.7974693269224487,0.24688233246090968,0.5930470347648262,498,489,2433,494,0.8109479277108431,0.6927710843373494,9,498
tp106_exit095,1,0.106,0.95,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp106_exit095.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp106_exit095.log,1.6483107827602026,1.7936765322611667,0.2251070617189226,0.5877551020408164,499,490,2433,494,0.8067065120481928,0.7951807228915663,9,498
tp107_exit095,1,0.107,0.95,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp107_exit095.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp107_exit095.log,1.6803644122299655,1.789697494234486,0.2261120471637492,0.5877551020408164,499,490,2433,494,0.8134910401606442,0.7951807228915663,9,498
exit090_mh1,1,0.1081,0.9,1,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit090_mh1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit090_mh1.log,1.7133519747989683,1.7859013318771837,0.21654407845299087,0.5959183673469388,499,490,2433,494,0.8263842469879514,0.8092369477911646,9,498
exit092_mh1,1,0.1081,0.92,1,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit092_mh1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit092_mh1.log,1.7133519747989683,1.7859013318771833,0.21654407845299087,0.5959183673469388,499,490,2433,494,0.8263842469879514,0.8092369477911646,9,498
baseline,1,0.1081,0.95,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\baseline.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\baseline.log,1.7131139432551004,1.7845286963557598,0.22729797779337538,0.5877551020408164,499,490,2433,494,0.8208727851405626,0.7951807228915663,9,498
exit098_mh2,1,0.1081,0.98,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit098_mh2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit098_mh2.log,1.7131139432551004,1.7845286963557598,0.22729797779337538,0.5877551020408164,499,490,2433,494,0.8208727851405626,0.7951807228915663,9,498
exit102_mh2,1,0.1081,1.02,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit102_mh2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit102_mh2.log,1.6573391518081975,1.771122293306802,0.22731272153920487,0.5857142857142857,499,490,2433,494,0.821122548192771,0.7991967871485943,9,498
exit100_mh2,1,0.1081,1.0,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit100_mh2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit100_mh2.log,1.6573391518081975,1.7711222933068016,0.22731272153920487,0.5857142857142857,499,490,2433,494,0.821122548192771,0.7991967871485943,9,498
tp110_exit095_mh3,1,0.11,0.95,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp110_exit095_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp110_exit095_mh3.log,1.201378217046534,1.72426577300936,0.23511597509148213,0.5828220858895705,497,489,2433,494,0.7537301606425709,0.1827309236947791,8,498
equity_dd_resize,1,0.1081,0.95,2,1,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RESIZE_EXISTING=1;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\equity_dd_resize.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\equity_dd_resize.log,1.429932188517048,1.7126422347124923,0.23129343065798227,0.556420233463035,954,1028,2433,494,0.8056559377510035,0.6927710843373494,10,498
tp1093_exit100_mh3,1,0.1093,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1093_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1093_exit100_mh3.log,1.3698450237139015,1.6874870152067876,0.23345694683764637,0.5959183673469388,499,490,2433,494,0.7909884839357425,0.4578313253012048,9,498
tp1095_exit100_mh3,1,0.1095,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1095_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1095_exit100_mh3.log,1.3731426217904368,1.6863161444144477,0.23391983010583264,0.5959183673469388,499,490,2433,494,0.79233333935743,0.4578313253012048,9,498
