base_name,signal_file,score_db,score_table,max_positions,holding_days,max_daily_sells,open_score_exit,continue_ratio,source_signal_file,scaled_signal_file,log_file,returncode,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points,score_exit_ratio,max_holding_days
rank_10d50_5d50,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d50_5d50,10,4,1,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d50_5d50_mp10_h4_sells1_exit0_cont1p0_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d50_5d50_mp10_h4_sells1_exit0_cont1p0_mh4.log,0,1.1315547115904223,1.7362334039434864,0.20324587050012416,0.5831622176591376,498,487,2470,494,0.7723023038229376,0.13883299798792756,10,497,,
rank_10d80_5d20,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d80_5d20,8,5,2,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d80_5d20_mp8_h5_sells2_exit0_cont1p0_mh5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d80_5d20_mp8_h5_sells2_exit0_cont1p0_mh5.log,0,0.935971508043643,1.6376125558012022,0.20455086376447565,0.567398119122257,644,638,2470,494,0.6343681750503014,0.07243460764587525,8,497,,
rank_10d50_5d50,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d50_5d50,8,5,1,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d50_5d50_mp8_h5_sells1_exit1_cont1p0_mh5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d50_5d50_mp8_h5_sells1_exit1_cont1p0_mh5.log,0,1.1167328390888105,1.632049960308943,0.22148283831727997,0.573469387755102,497,490,2470,494,0.8022150442655934,0.635814889336016,8,497,0.95,
rank_10d80_5d20,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d80_5d20,8,5,1,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d80_5d20_mp8_h5_sells1_exit1_cont1p0_mh5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d80_5d20_mp8_h5_sells1_exit1_cont1p0_mh5.log,0,1.277429683229925,1.625583895113438,0.21548379554841388,0.5824847250509165,498,491,2470,494,0.8129851790744465,0.6639839034205232,8,497,0.95,
rank_10d80_5d20,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d80_5d20,8,4,1,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d80_5d20_mp8_h4_sells1_exit0_cont1p0_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d80_5d20_mp8_h4_sells1_exit0_cont1p0_mh4.log,0,1.2495441791097992,1.6161367428400646,0.21548868037014676,0.5836734693877551,497,490,2470,494,0.8129549356136825,0.670020120724346,7,497,,
rank_10d50_5d50,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d50_5d50,8,4,1,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d50_5d50_mp8_h4_sells1_exit0_cont1p0_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d50_5d50_mp8_h4_sells1_exit0_cont1p0_mh4.log,0,1.0499276288560044,1.6001479922389295,0.2218048638223161,0.5725971370143149,496,489,2470,494,0.8020197887323943,0.635814889336016,8,497,,
rank_10d50_5d50,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d50_5d50,8,5,1,0,0.98,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d50_5d50_mp8_h5_sells1_exit0_cont0p98_mh7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d50_5d50_mp8_h5_sells1_exit0_cont0p98_mh7.log,0,1.0362491514980534,1.5809763749418497,0.22125905844045024,0.5737704918032787,495,488,2470,494,0.8016711931589529,0.635814889336016,8,497,,7
rank_10d60_5d40,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d60_5d40_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d60_5d40,10,4,1,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d60_5d40_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d60_5d40_mp10_h4_sells1_exit0_cont1p0_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d60_5d40_mp10_h4_sells1_exit0_cont1p0_mh4.log,0,1.1202207297606095,1.5440062042253548,0.22859321630788787,0.5877551020408164,500,490,2470,494,0.8534992696177067,0.8631790744466801,10,497,,
rank_10d50_5d50,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d50_5d50,7,5,1,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d50_5d50_mp7_h5_sells1_exit0_cont1p0_mh5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d50_5d50_mp7_h5_sells1_exit0_cont1p0_mh5.log,0,0.9607129181908463,1.4845993718095007,0.24396308555685103,0.5685071574642127,496,489,2470,494,0.8249452354124751,0.9517102615694165,7,497,,
rank_10d80_5d20,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,rank_10d80_5d20,10,4,1,0,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\signals\rank_10d80_5d20_mp10_h4_sells1_exit0_cont1p0_mh4.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_execution_refine_20260621\logs\rank_10d80_5d20_mp10_h4_sells1_exit0_cont1p0_mh4.log,0,0.9957822390289209,1.4831283876779322,0.2484637721771371,0.5725971370143149,498,489,2470,494,0.8136361388329966,0.6116700201207244,10,497,,
