asset,table,max_total_mv,min_amount,min_turnover_rate,top_k,holding_days,max_positions,max_atr_ratio,direction,target_total_pct,weight_mode,open_score_exit,max_daily_sells,score_continue_entry_ratio,db_path,manifest_path,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
std_10d,stock_predict_data_model_agent_10d_tune_20260620_executable_10d_open_return_d4_l4_fs160_gate2_score_20240604_20260618,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\model_predictions\MODEL_PREDICTIONS.db,D:\work\quant\quant_mcp\quant\main\config\prediction_manifests\executable_10d_open_return_l4_formal_20260617.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\std_10d_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\std_10d_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,1.152538503834564,1.7157860148938373,0.20420837886165133,0.5761316872427984,496,486,2470,494,0.7500633219315902,0.2515090543259557,10,497
rank_10d80_5d20,rank_10d80_5d20,200000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d80_5d20_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.log,1.1997200453917403,1.594778384986072,0.21544386305418234,0.5828220858895705,496,489,2470,494,0.8114306177062371,0.6498993963782697,8,497
rank_10d50_5d50,rank_10d50_5d50,200000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d50_5d50_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.log,1.0091759267063511,1.5808233803502674,0.2213615087381582,0.5717213114754098,495,488,2470,494,0.8021694064386312,0.635814889336016,8,497
rank_10d50_5d50,rank_10d50_5d50,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d50_5d50_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d50_5d50_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.9178055125562867,1.5142618712674556,0.21703263028488495,0.5901639344262295,498,488,2470,494,0.8057412394366198,0.44064386317907445,10,497
rank_10d90_5d10,rank_10d90_5d10,200000.0,20000.0,0.5,5,5,8,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d90_5d10_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d90_5d10_top_tk5_h5_mp8_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.985693159164307,1.4938750181501894,0.24468566301115013,0.588957055214724,496,489,2470,494,0.7699249275653917,0.32796780684104626,8,497
rank_10d60_5d40,rank_10d60_5d40,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d60_5d40_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d60_5d40_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.9968145996402,1.4883557720276197,0.22883293413058176,0.5848670756646217,499,489,2470,494,0.8526879396378266,0.8531187122736419,10,497
rank_10d90_5d10,rank_10d90_5d10,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d90_5d10_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d90_5d10_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.9453881056063808,1.4824455483546226,0.23727580103774026,0.5708418891170431,497,487,2470,494,0.8145470462776658,0.5995975855130785,10,497
rank_10d80_5d20,rank_10d80_5d20,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d80_5d20_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d80_5d20_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.9200773663727506,1.4428000818394078,0.24858678076448656,0.5676229508196722,497,488,2470,494,0.8136207283702208,0.6116700201207244,10,497
rank_10d70_5d30,rank_10d70_5d30,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\rank_10d70_5d30_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\rank_10d70_5d30_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.9539856884028934,1.3431332801660159,0.2387987090889662,0.5705521472392638,499,489,2470,494,0.85199886720322,0.8410462776659959,10,497
std_5d,stock_predict_data_model_agent_5d_tune_20260620_executable_5d_open_return_d4_l4_fs160_gate1_score_20240604_20260618,200000.0,20000.0,0.5,5,5,10,,top,0.98,equal,0,1,1.0,D:\work\quant\quant_mcp\quant\data_file\model_predictions\MODEL_PREDICTIONS.db,D:\work\quant\quant_mcp\quant\main\config\prediction_manifests\prod_liq_prime_one_v20260612_l4_formal.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\signals\std_5d_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\logs\std_5d_top_tk5_h5_mp10_mv200000p0_amt20000p0_turn0p5_atrnone.log,0.9795208685034708,1.3220791530994525,0.24595679191268127,0.5626283367556468,498,487,2470,494,0.8309370945674045,0.6116700201207244,11,497
