name,eligible,disqualification_reason,rank_max,primary_count_min,min_amount,min_turnover,max_turnover,min_total_mv,max_total_mv,max_atr_ratio,min_pred_5d,min_pred_10d,max_rank_5d,max_rank_10d,min_rank_5d,min_rank_10d,max_abs_pred_gap,post_filter_min_count,post_filter_min_primary_count,post_filter_avg_pred_min,max_positions,holding_days,max_holding_days,target_pct,max_target_pct,rank_target_pct,score_exit_entry_ratio,min_holding_days_before_score_exit,max_daily_sells,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,min_signal_target_pct,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
strong4_t22,True,,4,2,,,,,,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong4_t22.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong4_t22.log,2.0052758020763286,2.4265015241269983,0.2346196746424754,0.5597826086956522,372,368,1636,409,0.22000000000000713,0.22,0.22,0.6181074538152609,0.15261044176706828,5,498
strong5_t22,True,,5,2,,,,,,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong5_t22.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong5_t22.log,2.1669983226424216,2.299982999010322,0.23461651921287496,0.5649867374005305,382,377,2022,409,0.220000000000011,0.22,0.22,0.6596747771084336,0.25903614457831325,5,498
strong4_t21_liq_mid,True,,4,2,20000.0,0.5,,,,,,,,,,,,,,,5,7,7,0.21,0.21,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong4_t21_liq_mid.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong4_t21_liq_mid.log,0.7677018875512568,1.626586153935709,0.2985253818965868,0.5415472779369628,353,349,1306,409,0.21000000000000107,0.21,0.21,0.5665412489959838,0.1566265060240964,4,498
strong4_t22_liq_mid,True,,4,2,20000.0,0.5,,,,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong4_t22_liq_mid.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong4_t22_liq_mid.log,0.8337813733350042,1.6315261920687785,0.31116133132472,0.5415472779369628,353,349,1306,409,0.22000000000000203,0.22,0.22,0.5922476325301205,0.1566265060240964,4,498
strong5_t22_liq_mid,True,,5,2,20000.0,0.5,,,,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong5_t22_liq_mid.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong5_t22_liq_mid.log,1.0748613071980113,1.8109942765942306,0.34339821566214657,0.576271186440678,358,354,1619,409,0.2200000000000069,0.22,0.22,0.6134232369477911,0.16265060240963855,4,498
strong4_t22_liq_high,True,,4,2,30000.0,0.8,,,,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong4_t22_liq_high.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong4_t22_liq_high.log,0.5538983564005294,1.2054598700661927,0.28607569004917544,0.55,324,320,962,395,0.21999999999999897,0.22,0.22,0.5567004036144577,0.13253012048192772,4,498
strong5_t22_liq_high,True,,5,2,30000.0,0.8,,,,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong5_t22_liq_high.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong5_t22_liq_high.log,0.8880468198495023,1.5520559164128636,0.22531106258175246,0.5571847507331378,345,341,1183,401,0.21999999999999942,0.22,0.22,0.5852632931726903,0.15060240963855423,4,498
strong4_t22_mv150,True,,4,2,,,,,150000.0,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong4_t22_mv150.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong4_t22_mv150.log,1.0418078431960116,1.90721895826977,0.2587087589756558,0.5636942675159236,318,314,1139,409,0.21999999999999897,0.22,0.22,0.5268235722891569,0.11044176706827309,5,498
strong4_t22_mv100,True,,4,2,,,,,100000.0,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong4_t22_mv100.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong4_t22_mv100.log,0.20428435390758853,1.01957063816107,0.15593769238929261,0.5833333333333334,84,84,244,154,0.2199999999999993,0.22,0.22,0.16192888152610438,0.012048192771084338,5,498
strong5_t22_mv150,True,,5,2,,,,,150000.0,,,,,,,,,,,,5,7,7,0.22,0.22,,1.0,3,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\signals\strong5_t22_mv150.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_noncalendar_quality_refine_20260621\logs\strong5_t22_mv150.log,1.4027209845062065,2.0807202507332945,0.25588975567099626,0.583596214511041,321,317,1307,409,0.22000000000000206,0.22,0.22,0.5444328554216868,0.13654618473895583,4,498
