name,min_close,max_close,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
baseline,,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\baseline.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\baseline.log,1.7131139432551004,1.7845286963557603,0.22729797779337538,0.5877551020408164,499,490,2433,494,0.8208727851405626,0.7951807228915663,9,498
max50,,50.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\max50.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\max50.log,1.7131139432551004,1.7845286963557598,0.22729797779337538,0.5877551020408164,499,490,2433,494,0.8208727851405626,0.7951807228915663,9,498
min2_max50,2.0,50.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min2_max50.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min2_max50.log,0.9967815141901807,1.5853547998668338,0.23531191797868492,0.5635245901639344,497,488,2417,494,0.7603778614457831,0.3232931726907631,9,498
min2,2.0,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min2.log,0.9967815141901807,1.5853547998668336,0.23531191797868492,0.5635245901639344,497,488,2417,494,0.7603778614457831,0.3232931726907631,9,498
min3_max20,3.0,20.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min3_max20.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min3_max20.log,0.9528043372070701,1.5748967080829426,0.22038913384767847,0.5983606557377049,498,488,2412,494,0.8001990542168668,0.6967871485943775,9,498
max30,,30.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\max30.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\max30.log,1.240454574276997,1.536325535645191,0.2547713337758252,0.5705521472392638,498,489,2433,494,0.8340918453815257,0.8112449799196787,10,498
min3,3.0,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min3.log,0.7861782544084103,1.4010174613339703,0.23010757824851247,0.5840163934426229,498,488,2412,494,0.8086217369477918,0.7389558232931727,9,498
min3_max50,3.0,50.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min3_max50.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min3_max50.log,0.7861782544084103,1.4010174613339696,0.23010757824851247,0.5840163934426229,498,488,2412,494,0.8086217369477918,0.7389558232931727,9,498
min3_max30,3.0,30.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min3_max30.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min3_max30.log,0.788125507323206,1.3670400243952154,0.23014740252664606,0.5860655737704918,498,488,2412,494,0.8080915763052207,0.7369477911646586,9,498
min2_max30,2.0,30.0,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\signals\min2_max30.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_price_refine_20260621\logs\min2_max30.log,0.7282248931847042,1.2453139539806493,0.2400898979754569,0.5649484536082474,495,485,2417,494,0.789072566265061,0.41365461847389556,10,498
