name,rules,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_regime_scale,scaled_signal_count,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
baseline,[],0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\baseline.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\baseline.log,1.8311877715860556,1.810650634772411,0.22108404455015426,0.5942622950819673,497,488,2433,494,1.0,0,0.8375330140562247,0.8232931726907631,9,498
idx10_neg5_scale075,"[{'type': 'idx_ret', 'field': 'idx_ret_10', 'lt': -0.05, 'scale': 0.75}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\idx10_neg5_scale075.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\idx10_neg5_scale075.log,1.8114237548387786,1.8571402898957834,0.2091311958958568,0.5901639344262295,498,488,2433,494,0.9715371968762844,277,0.8195445883534133,0.7369477911646586,10,498
weak_primary_scale090,"[{'type': 'weak_primary', 'scale': 0.9, 'primary_count_max': 1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\weak_primary_scale090.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\weak_primary_scale090.log,1.8086161850553586,1.8523940541935429,0.22336418487722115,0.5942622950819673,498,488,2433,494,0.9831072749691864,411,0.8267858212851414,0.7570281124497992,10,498
quality_gate_scale080,"[{'type': 'quality_gate', 'scale': 0.8, 'avg_pred_lt': 2.3, 'primary_count_max': 1, 'idx_ret_5_lt': -0.01}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\quality_gate_scale080.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\quality_gate_scale080.log,1.7998014952608865,1.822324859921523,0.22112726180861644,0.5942622950819673,498,488,2433,494,0.9882449650637143,143,0.8303453714859436,0.785140562248996,10,498
weak_fallback_only_scale085,"[{'type': 'weak_fallback_only', 'scale': 0.85, 'primary_count_max': 1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\weak_fallback_only_scale085.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\weak_fallback_only_scale085.log,1.7896530329581513,1.8631171078315443,0.2235890827967596,0.5942622950819673,498,488,2433,494,0.9798397040690404,327,0.8226622931726906,0.7329317269076305,10,498
weak_primary_scale085,"[{'type': 'weak_primary', 'scale': 0.85, 'primary_count_max': 1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\weak_primary_scale085.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\weak_primary_scale085.log,1.7891420168595276,1.8775553474511095,0.22468362396306596,0.5942622950819673,498,488,2433,494,0.9746609124537482,411,0.8199618293172694,0.7269076305220884,10,498
weak_fallback_only_scale080,"[{'type': 'weak_fallback_only', 'scale': 0.8, 'primary_count_max': 1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\weak_fallback_only_scale080.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\weak_fallback_only_scale080.log,1.7710649808170293,1.8866031536564607,0.22420972375944864,0.5942622950819673,498,488,2433,494,0.973119605425411,327,0.8165283313253016,0.7188755020080321,10,498
weak_primary_scale080,"[{'type': 'weak_primary', 'scale': 0.8, 'primary_count_max': 1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\weak_primary_scale080.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\weak_primary_scale080.log,1.7692998596799585,1.9058477030314522,0.22612102632063516,0.5942622950819673,498,488,2433,494,0.9662145499383594,411,0.8129098995983929,0.6987951807228916,10,498
weak_primary_scale075,"[{'type': 'weak_primary', 'scale': 0.75, 'primary_count_max': 1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\weak_primary_scale075.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\weak_primary_scale075.log,1.7583600118139422,1.9450347698806454,0.22757018927155825,0.5942622950819673,498,488,2433,494,0.9577681874229347,411,0.8059548995983931,0.6807228915662651,10,498
bad_vol_scale075,"[{'type': 'bad_vol', 'scale': 0.75, 'idx_vol_10_gt': 0.018, 'idx_ret_5_lt': -0.01}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\signals\bad_vol_scale075.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_regime_filter_refine_20260621\logs\bad_vol_scale075.log,1.7434360489910303,1.8335811779953426,0.21715387922367518,0.5942622950819673,497,488,2433,494,0.9740032881216605,253,0.8160330983935751,0.6887550200803213,9,498
