name,stop_loss,take_profit,light_stop,score_exit_ratio,score_exit_rank,returncode,signal_file,score_db,score_table,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points,min_light_hold
sl06,0.06,,,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\sl06.log,1.4380015199082208,1.624655015136672,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
light05,0.08,,0.05,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\light05.log,1.4380015199082208,1.624655015136672,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,1
ser085,0.08,,,0.85,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\ser085.log,1.4380015199082208,1.624655015136672,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
sl08_tp12,0.08,0.12,,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\sl08_tp12.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
sl06_tp12,0.06,0.12,,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\sl06_tp12.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
sl06_tp18,0.06,0.18,,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\sl06_tp18.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
light04,0.08,,0.04,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\light04.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,1
rank080,0.08,,,0.95,0.8,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\rank080.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
sl06_rank070,0.06,,,0.95,0.7,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\sl06_rank070.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,
sl06_light04,0.06,,0.04,0.95,,0,D:\work\quant\quant_mcp\quant\main\strategy_library\exploration\l5_formal_5d10d_candidate_20260621\signals\candidate_signals.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_score_refine_20260621\tiered_scores.db,tier_p90_f50_plim2_pmv150000p0_fmv200000p0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_risk_exit_refine_20260621\logs\sl06_light04.log,1.4380015199082208,1.6246550151366719,0.18511263388236493,0.5979591836734693,500,490,0.8066488915662652,0.4759036144578313,10,498,1
