table,max_total_mv,min_amount,min_turnover_rate,top_k,holding_days,max_positions,asset,direction,weight_mode,target_total_pct,max_atr_ratio,open_score_exit,score_exit_entry_ratio,max_daily_sells,score_continue_entry_ratio,db_path,manifest_path,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
rank_10d90_5d10,150000.0,10000.0,0.3,5,4,8,rank_10d90_5d10,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d90_5d10_top_tk5_h4_mp8_mv150000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d90_5d10_top_tk5_h4_mp8_mv150000p0_amt10000p0_turn0p3_exit1_ser0p95.log,1.0928625331560915,2.082136491028149,0.2348928743047807,0.5750577367205543,442,433,2069,493,0.5768834064386319,0.04225352112676056,8,497
rank_10d80_5d20,100000.0,10000.0,0.3,5,4,8,rank_10d80_5d20,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d80_5d20_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d80_5d20_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.log,0.6289325631054972,2.0570517375906023,0.12610098914713927,0.6056338028169014,214,213,896,238,0.25125405835010056,0.01609657947686117,7,497
rank_10d50_5d50,100000.0,10000.0,0.3,5,4,8,rank_10d50_5d50,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d50_5d50_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d50_5d50_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.log,0.6347797969785821,2.0503929550458713,0.12251000810318179,0.602803738317757,215,214,896,238,0.24997077062374257,0.01609657947686117,7,497
rank_10d60_5d40,100000.0,10000.0,0.3,5,4,8,rank_10d60_5d40,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d60_5d40_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d60_5d40_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.log,0.6248812890912191,2.0503197858216127,0.1206581070800613,0.5981308411214953,215,214,896,238,0.24889614889336004,0.026156941649899398,7,497
rank_10d90_5d10,100000.0,10000.0,0.3,5,4,8,rank_10d90_5d10,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d90_5d10_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d90_5d10_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.log,0.6251347070644168,2.0419416658374216,0.12017764232041463,0.6084905660377359,213,212,896,238,0.2453698209255533,0.014084507042253521,7,497
rank_10d80_5d20,150000.0,10000.0,0.3,5,4,8,rank_10d80_5d20,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d80_5d20_top_tk5_h4_mp8_mv150000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d80_5d20_top_tk5_h4_mp8_mv150000p0_amt10000p0_turn0p3_exit1_ser0p95.log,1.1041852338248963,2.033558688165092,0.21510358841870866,0.5841121495327103,437,428,2069,493,0.589782804828974,0.13078470824949698,8,497
rank_10d70_5d30,100000.0,10000.0,0.3,5,4,8,rank_10d70_5d30,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d70_5d30_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d70_5d30_top_tk5_h4_mp8_mv100000p0_amt10000p0_turn0p3_exit1_ser0p95.log,0.5779843399152618,1.996735442838958,0.11667368698008909,0.596244131455399,214,213,896,238,0.2526755211267606,0.01609657947686117,7,497
rank_10d50_5d50,150000.0,10000.0,0.3,5,4,8,rank_10d50_5d50,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d50_5d50_top_tk5_h4_mp8_mv150000p0_amt10000p0_turn0p3_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d50_5d50_top_tk5_h4_mp8_mv150000p0_amt10000p0_turn0p3_exit1_ser0p95.log,1.0184730749900195,1.896404969837823,0.2573288566570491,0.5912240184757506,440,433,2069,493,0.5821159074446685,0.002012072434607646,7,497
rank_10d80_5d20,150000.0,20000.0,0.5,5,4,8,rank_10d80_5d20,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d80_5d20_top_tk5_h4_mp8_mv150000p0_amt20000p0_turn0p5_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d80_5d20_top_tk5_h4_mp8_mv150000p0_amt20000p0_turn0p5_exit1_ser0p95.log,0.9697033000757118,1.874343276500204,0.27573474564128914,0.5870069605568445,440,431,2013,488,0.5832404366197186,0.07645875251509054,8,497
rank_10d90_5d10,150000.0,20000.0,0.5,5,4,8,rank_10d90_5d10,top,equal,0.98,,1,0.95,1,1.0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d.db,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_l5_candidate_grid_20260621\fusion_5d10d_manifest.json,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\signals\rank_10d90_5d10_top_tk5_h4_mp8_mv150000p0_amt20000p0_turn0p5_exit1_ser0p95.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_selection_refine_20260621\logs\rank_10d90_5d10_top_tk5_h4_mp8_mv150000p0_amt20000p0_turn0p5_exit1_ser0p95.log,0.8905399696515974,1.8022054556021703,0.26221972057809056,0.580046403712297,439,431,2013,488,0.5755785754527156,0.022132796780684104,8,497
