name,mode,max_target_pct,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,min_signal_target_pct,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
equal_base,equal,0.1092,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\equal_base.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\equal_base.log,1.8305749771033664,1.8116857607500556,0.22083511707695672,0.5942622950819673,497,488,2433,494,0.10919999999999386,0.1092,0.1092,0.8371791586345378,0.8232931726907631,9,498
primary_boost_mild,primary_boost,0.112,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\primary_boost_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\primary_boost_mild.log,1.8169222066599253,1.8176219474015507,0.22209066688733517,0.5942622950819673,497,488,2433,494,0.10904245787094279,0.112,0.1073,0.835543690763052,0.8232931726907631,9,498
rank_slope_mild,rank_map,0.112,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\rank_slope_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\rank_slope_mild.log,1.815243129381368,1.8065924007749334,0.22359951042164666,0.5942622950819673,497,488,2433,494,0.10885450061652119,0.112,0.105,0.8372263253012043,0.8232931726907631,9,498
equity_dd_loose,equal,0.1092,GM_EQUITY_DD_HARD_SCALE=0.85;GM_EQUITY_DD_HARD_TRIGGER=0.25;GM_EQUITY_DD_RECOVER_TRIGGER=0.05;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.95;GM_EQUITY_DD_SOFT_TRIGGER=0.15,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\equity_dd_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\equity_dd_loose.log,1.8103472771789562,1.8090414130349552,0.22502014877408077,0.5942622950819673,497,488,2433,494,0.10919999999999386,0.1092,0.1092,0.8326825220883536,0.8232931726907631,9,498
low_vol_cash_buffer,rank_map,0.108,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\low_vol_cash_buffer.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\low_vol_cash_buffer.log,1.806230720509095,1.821067541227049,0.21864829685401915,0.5942622950819673,497,488,2433,494,0.10800000000000276,0.108,0.108,0.8297066204819271,0.8232931726907631,9,498
top1_boost_flat_tail,rank_map,0.116,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\top1_boost_flat_tail.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\top1_boost_flat_tail.log,1.797722305859235,1.8046124842584617,0.22490394117866808,0.5942622950819673,497,488,2433,494,0.10924702013974678,0.116,0.106,0.8369642469879517,0.8232931726907631,9,498
primary_boost_strong,primary_boost,0.115,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\primary_boost_strong.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\primary_boost_strong.log,1.792321003413339,1.824266047629308,0.22309260171975112,0.5942622950819673,497,488,2433,494,0.108707357172214,0.115,0.105,0.8319358273092373,0.8232931726907631,9,498
top2_boost_tail_cut,rank_map,0.114,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\top2_boost_tail_cut.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\top2_boost_tail_cut.log,1.7797415596243953,1.8005176420251332,0.22572128903434163,0.5942622950819673,497,488,2433,494,0.10811426222770194,0.114,0.1,0.8339273212851417,0.8232931726907631,9,498
rank_slope_strong,rank_map,0.115,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\rank_slope_strong.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\rank_slope_strong.log,1.7707891681690886,1.8023758063088497,0.22647376001018557,0.5942622950819673,497,488,2433,494,0.10791204274558276,0.115,0.1,0.8325416767068264,0.8232931726907631,9,498
tail_cut_keep_top,rank_map,0.111,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\tail_cut_keep_top.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\tail_cut_keep_top.log,1.7695105863233378,1.79932420155954,0.22681361575212855,0.5942622950819673,497,488,2433,494,0.1071524866420058,0.111,0.096,0.8318742630522071,0.8232931726907631,9,498
equity_dd_mild,equal,0.1092,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\equity_dd_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\equity_dd_mild.log,1.7286421509648073,1.82983879062211,0.22182020991610535,0.5942622950819673,497,488,2433,494,0.10919999999999386,0.1092,0.1092,0.8141670682730928,0.6626506024096386,9,498
equity_dd_resize_loose,equal,0.1092,GM_EQUITY_DD_HARD_SCALE=0.85;GM_EQUITY_DD_HARD_TRIGGER=0.25;GM_EQUITY_DD_RECOVER_TRIGGER=0.05;GM_EQUITY_DD_RESIZE_EXISTING=1;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.95;GM_EQUITY_DD_SOFT_TRIGGER=0.15,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\equity_dd_resize_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\equity_dd_resize_loose.log,1.4406222398543018,1.721174371701432,0.23419278593708834,0.5746445497630331,807,844,2433,494,0.10919999999999386,0.1092,0.1092,0.7894084437751,0.5522088353413654,9,498
fallback_boost_mild,primary_boost,0.11,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\fallback_boost_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\fallback_boost_mild.log,1.3397626141495647,1.6717781243744974,0.2413950834871613,0.6036960985626283,496,487,2433,494,0.1092585285655624,0.11,0.108,0.7915308493975904,0.4598393574297189,9,498
index_risk_loose,equal,0.1092,GM_INDEX_RISK_BUY_SCALE=0.85;GM_INDEX_RISK_CC_THRESHOLD=-0.035;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.035,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\index_risk_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\index_risk_loose.log,0.9817050561985269,1.5031939018538565,0.21086247429348842,0.5509838998211091,568,559,2433,494,0.10919999999999386,0.1092,0.1092,0.7860818172690762,0.6546184738955824,9,498
combined_loose,equal,0.1092,GM_EQUITY_DD_HARD_SCALE=0.85;GM_EQUITY_DD_HARD_TRIGGER=0.25;GM_EQUITY_DD_RECOVER_TRIGGER=0.05;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.95;GM_EQUITY_DD_SOFT_TRIGGER=0.15;GM_INDEX_RISK_BUY_SCALE=0.85;GM_INDEX_RISK_CC_THRESHOLD=-0.035;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.035,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\combined_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\combined_loose.log,0.903933708447871,1.382540008336301,0.2225541227740869,0.5614973262032086,570,561,2433,494,0.10919999999999386,0.1092,0.1092,0.7681639819277118,0.5080321285140562,9,498
index_risk_mild,equal,0.1092,GM_INDEX_RISK_BUY_SCALE=0.75;GM_INDEX_RISK_CC_THRESHOLD=-0.025;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.025,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\signals\index_risk_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_signal_weight_refine_20260621\logs\index_risk_mild.log,0.691776898199827,1.291520783106686,0.23381116254917128,0.5232744783306581,632,623,2433,494,0.10919999999999386,0.1092,0.1092,0.7218969317269083,0.3674698795180723,9,498
