name,eligible,disqualification_reason,mode,rank_max,pred_min,primary_count_min,avg_pred_min,max_positions,holding_days,target_pct,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,min_signal_target_pct,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
strongday_top5_mp5_t22_h7,True,,equal,5,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_mp5_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_mp5_t22_h7.log,2.1669983226424216,2.299982999010322,0.23461651921287496,0.5649867374005305,382,377,2022,409,0.220000000000011,0.22,0.22,0.6596747771084336,0.25903614457831325,5,498
strongday_top4_mp5_t225_h7,True,,equal,4,,2,,5,7,0.225,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_mp5_t225_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_mp5_t225_h7.log,2.1025866381750427,2.4211456566691414,0.23941685842611224,0.5597826086956522,372,368,1636,409,0.22500000000000414,0.225,0.225,0.6312331726907631,0.15261044176706828,5,498
strongday_top5_mp5_t20_h7,True,,equal,5,,2,,5,7,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_mp5_t20_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_mp5_t20_h7.log,2.0517817482474996,2.4143080631876574,0.21488649581128794,0.5649867374005305,382,377,2022,409,0.19999999999999288,0.2,0.2,0.6251910602409642,0.142570281124498,5,498
strongday_top4_mp5_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_mp5_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_mp5_t22_h7.log,2.0052758020763286,2.4265015241269983,0.2346196746424754,0.5597826086956522,372,368,1636,409,0.22000000000000713,0.22,0.22,0.6181074538152609,0.15261044176706828,5,498
strongday_top4_t22_exit105,True,,equal,4,,2,,5,7,0.22,GM_MAX_DAILY_SELLS=1;GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT=2;GM_SCORE_EXIT_ENTRY_RATIO=1.05,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_t22_exit105.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_t22_exit105.log,2.0052758020763286,2.4265015241269983,0.2346196746424754,0.5597826086956522,372,368,1636,409,0.22000000000000713,0.22,0.22,0.6181074538152609,0.15261044176706828,5,498
strongday_top4_t22_sl06,True,,equal,4,,2,,5,7,0.22,GM_STOP_LOSS_PCT=0.06,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_t22_sl06.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_t22_sl06.log,2.0052758020763286,2.4265015241269983,0.2346196746424754,0.5597826086956522,372,368,1636,409,0.22000000000000713,0.22,0.22,0.6181074538152609,0.15261044176706828,5,498
strongday_top4_t22_eqdd_loose,True,,equal,4,,2,,5,7,0.22,GM_EQUITY_DD_HARD_SCALE=0.85;GM_EQUITY_DD_HARD_TRIGGER=0.25;GM_EQUITY_DD_RECOVER_TRIGGER=0.05;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.95;GM_EQUITY_DD_SOFT_TRIGGER=0.15,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_t22_eqdd_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_t22_eqdd_loose.log,1.985181357207284,2.4371935381820933,0.23045501621292816,0.5597826086956522,372,368,1636,409,0.22000000000000713,0.22,0.22,0.6122873694779111,0.15261044176706828,5,498
strongday_top4_t22_eqdd_mild,True,,equal,4,,2,,5,7,0.22,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_t22_eqdd_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_t22_eqdd_mild.log,1.9377017854792353,2.442175445924891,0.22513305145662693,0.5597826086956522,372,368,1636,409,0.22000000000000713,0.22,0.22,0.603353303212852,0.1285140562248996,5,498
base_10x10925,True,,equal,5,,,,10,7,0.10925,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\base_10x10925.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\base_10x10925.log,1.9275379307522482,1.8806074331516485,0.2209442732001819,0.6004098360655737,497,488,2436,494,0.10925000000000146,0.10925,0.10925,0.836569634538153,0.8253012048192772,9,498
strongday_top4_mp5_t215_h7,True,,equal,4,,2,,5,7,0.215,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_mp5_t215_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_mp5_t215_h7.log,1.9144770716559676,2.4333491859282974,0.22971306750721354,0.5597826086956522,372,368,1636,409,0.21499999999999536,0.215,0.215,0.6048934176706827,0.1566265060240964,5,498
