primary_asset,primary_max_total_mv,primary_min_amount,primary_min_turnover_rate,primary_limit,fallback_asset,fallback_max_total_mv,fallback_min_amount,fallback_min_turnover_rate,max_positions,holding_days,open_score_exit,max_daily_sells,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
rank_10d90_5d10,150000.0,10000.0,0.3,2,rank_10d60_5d40,200000.0,10000.0,0.3,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp10_h4_exit1.log,1.419316271170862,1.8323042589270309,0.19752486904475014,0.5914634146341463,501,492,2433,494,0.7506254728370221,0.08853118712273642,9,497
rank_10d90_5d10,150000.0,10000.0,0.3,3,rank_10d60_5d40,200000.0,10000.0,0.3,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp10_h4_exit1.log,1.2924183593052376,1.8089256034164605,0.19064454868012298,0.5967413441955194,501,491,2443,494,0.7474821931589537,0.09859154929577464,9,497
rank_10d90_5d10,150000.0,10000.0,0.3,2,rank_10d60_5d40,200000.0,10000.0,0.3,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp8_h4_exit1.log,1.169795324086866,1.646941191962135,0.26199230988711614,0.5914634146341463,499,492,2433,494,0.7552820704225355,0.2796780684104628,7,497
rank_10d90_5d10,150000.0,10000.0,0.3,3,rank_10d60_5d40,200000.0,10000.0,0.3,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim3_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp8_h4_exit1.log,1.0075537896104232,1.6434996545172396,0.26001943367496627,0.5539714867617108,498,491,2443,494,0.6869993319919516,0.2857142857142857,7,497
rank_10d90_5d10,150000.0,10000.0,0.3,2,rank_10d50_5d50,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,1.4201722186465524,1.6147295033753537,0.20114861312481697,0.5795918367346938,500,490,2448,494,0.823800857142857,0.5995975855130785,10,497
rank_10d90_5d10,150000.0,10000.0,0.3,5,rank_10d50_5d50,200000.0,20000.0,0.5,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp10_h4_exit1.log,1.0169578171334646,1.5926790984383483,0.22602410381465635,0.5906313645621182,501,491,2464,494,0.7377877102615695,0.36016096579476864,10,497
rank_10d90_5d10,150000.0,10000.0,0.3,5,rank_10d60_5d40,200000.0,10000.0,0.3,10,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp10_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp10_h4_exit1.log,0.9727387740160054,1.5893289968768172,0.23237778783448051,0.5653061224489796,500,490,2459,494,0.6879421267605631,0.17706237424547283,9,497
rank_10d90_5d10,150000.0,10000.0,0.3,2,rank_10d80_5d20,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d80_5d20_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,0.9679638959407534,1.5797605447183851,0.2171978436777285,0.5873983739837398,499,492,2441,494,0.7270429537223342,0.04627766599597585,7,497
rank_10d90_5d10,150000.0,10000.0,0.3,2,rank_10d50_5d50,200000.0,20000.0,0.5,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim2_frank_10d50_5d50_mv200000p0_amt20000p0_turn0p5_mp8_h4_exit1.log,1.179311780785976,1.5715222871463548,0.20705020988698133,0.5836734693877551,498,490,2448,494,0.7594528088531194,0.3118712273641851,8,497
rank_10d90_5d10,150000.0,10000.0,0.3,5,rank_10d60_5d40,200000.0,10000.0,0.3,8,4,1,1,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\signals\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp8_h4_exit1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_tiered_fill_20260621\logs\prank_10d90_5d10_mv150000p0_amt10000p0_turn0p3_plim5_frank_10d60_5d40_mv200000p0_amt10000p0_turn0p3_mp8_h4_exit1.log,1.0679733214309628,1.5649420822376687,0.2084035701413542,0.5714285714285714,499,490,2459,494,0.7111176700201208,0.08651911468812877,8,497
