name,weak_mode,primary_asset,fallback_asset,target_pct,holding_days,max_positions,fallback_min_amount,fallback_min_turnover_rate,score_db,score_table,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,weak_dates,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
weak_fallback150,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,10,10000.0,0.3,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_fallback150_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_10000p0_0p3,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_fallback150.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_fallback150.log,1.2913872821196626,1.9057753748477058,0.22324540350264666,0.5986547085201793,455,446,85,2151,493,0.715995188755019,0.3253012048192771,9,498
weak_avgpred_f60_liq,avg_pred_lt225,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_avgpred_f60_liq_avg_pred_lt225_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_avgpred_f60_liq.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_avgpred_f60_liq.log,1.9275379307522482,1.8806074331516485,0.2209442732001819,0.6004098360655737,497,488,95,2435,494,0.836569634538153,0.8253012048192772,9,498
weak_f60_liq,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq.log,1.9275379307522482,1.880607433151648,0.2209442732001819,0.6004098360655737,497,488,85,2436,494,0.836569634538153,0.8253012048192772,9,498
weak_f50_liq,primary_count_le1,rank_10d90_5d10,rank_10d50_5d50,0.10925,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f50_liq_primary_count_le1_prank_10d90_5d10_frank_10d50_5d50_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f50_liq.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f50_liq.log,1.8447200572254812,1.8551398618549662,0.22109487941085568,0.5983606557377049,497,488,85,2437,494,0.8361306827309244,0.821285140562249,9,498
weak_f60_liq_h8,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,8,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_h8_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_h8.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_h8.log,1.7674449314779634,1.8116228020237124,0.21874038121587175,0.6057494866529775,496,487,85,2436,494,0.8249962108433738,0.7409638554216867,9,498
baseline,none,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,10,10000.0,0.3,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,baseline_none_prank_10d90_5d10_frank_10d60_5d40_10000p0_0p3,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\baseline.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\baseline.log,1.8311877715860556,1.81065063477241,0.22108404455015426,0.5942622950819673,497,488,0,2433,494,0.8375330140562247,0.8232931726907631,9,498
weak_f60_liq_mp9,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,9,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_mp9_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_mp9.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_mp9.log,1.8464962068106094,1.7910100171680476,0.22119825329448803,0.5938775510204082,499,490,85,2436,494,0.83589698995984,0.821285140562249,9,498
weak_primary80,primary_count_le1,rank_10d80_5d20,rank_10d60_5d40,0.10925,7,10,10000.0,0.3,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_primary80_primary_count_le1_prank_10d80_5d20_frank_10d60_5d40_10000p0_0p3,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_primary80.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_primary80.log,1.7288097365966437,1.782998415757167,0.2207652844196789,0.5942622950819673,497,488,85,2433,494,0.8375118815261041,0.8232931726907631,9,498
weak_pmv100,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,10,10000.0,0.3,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_pmv100_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_10000p0_0p3,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_pmv100.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_pmv100.log,1.7030948664613008,1.7608843192503394,0.2277721419113538,0.6004098360655737,497,488,85,2440,494,0.8395253835341363,0.8293172690763052,9,498
weak_f60_liq_h6,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,6,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_h6_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_h6.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_h6.log,1.3589623133620246,1.7288542604524986,0.2350938009686081,0.6024590163934426,497,488,85,2436,494,0.7897418152610445,0.4598393574297189,9,498
weak_f70,primary_count_le1,rank_10d90_5d10,rank_10d70_5d30,0.10925,7,10,10000.0,0.3,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f70_primary_count_le1_prank_10d90_5d10_frank_10d70_5d30_10000p0_0p3,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f70.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f70.log,1.3190663117481307,1.683987317939911,0.24883535667333834,0.5773195876288659,493,485,85,2432,494,0.7855308714859435,0.4839357429718876,9,498
weak_f60_liq_h9,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,9,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_h9_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_h9.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_h9.log,1.481749306849124,1.6808141694457497,0.24580418319066466,0.5946502057613169,495,486,85,2436,494,0.8357536666666663,0.8232931726907631,9,498
weak_f60_liq_tp1095,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.1095,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_tp1095_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_tp1095.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_tp1095.log,1.3469592112801574,1.663325200065013,0.2454183001849415,0.6078028747433265,496,487,85,2436,494,0.7934004156626505,0.4598393574297189,9,498
weak_f60_liq_tp1098,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.1098,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_tp1098_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_tp1098.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_tp1098.log,1.351522323324674,1.6613553202354694,0.2462812634805645,0.6078028747433265,496,487,85,2436,494,0.7955337188755017,0.46184738955823296,9,498
weak_f60_liq_tp1100,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.11,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_tp1100_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_tp1100.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_tp1100.log,1.355126411696159,1.6609420129512518,0.24651060620068904,0.6078028747433265,496,487,85,2436,494,0.7967032690763053,0.463855421686747,9,498
weak_f60_liq_mp8,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.10925,7,8,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_mp8_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_mp8.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_mp8.log,1.1308547222754632,1.6492661292338955,0.24526907251054142,0.5848670756646217,497,489,85,2436,494,0.7397316124497997,0.006024096385542169,8,498
weak_f60_liq_tp1105,primary_count_le1,rank_10d90_5d10,rank_10d60_5d40,0.1105,7,10,20000.0,0.5,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\weak_day_pool_scores.db,weak_f60_liq_tp1105_primary_count_le1_prank_10d90_5d10_frank_10d60_5d40_20000p0_0p5,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\signals\weak_f60_liq_tp1105.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_day_pool_replace_20260621\logs\weak_f60_liq_tp1105.log,1.1672509388631902,1.6446613760026008,0.2475660541979997,0.5852156057494866,495,487,85,2436,494,0.7409772831325301,0.03614457831325301,8,498
