name,open_score_exit,target_pct,score_exit_ratio,min_hold_score_exit,max_daily_sells,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
equity_dd_mild,1,0.10925,1.0,2,1,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\equity_dd_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\equity_dd_mild.log,1.8177659514910387,1.8961250924657702,0.22175206457641738,0.6004098360655737,497,488,2436,494,0.8141619236947794,0.6666666666666666,9,498
exit105_mh3_s1,1,0.10925,1.05,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit105_mh3_s1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit105_mh3_s1.log,1.9275379307522482,1.8806074331516485,0.2209442732001819,0.6004098360655737,497,488,2436,494,0.836569634538153,0.8253012048192772,9,498
exit110_mh3_s1,1,0.10925,1.1,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit110_mh3_s1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit110_mh3_s1.log,1.9275379307522482,1.8806074331516485,0.2209442732001819,0.6004098360655737,497,488,2436,494,0.836569634538153,0.8253012048192772,9,498
exit105_mh2_s1,1,0.10925,1.05,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit105_mh2_s1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit105_mh2_s1.log,1.9275379307522482,1.8806074331516485,0.2209442732001819,0.6004098360655737,497,488,2436,494,0.836569634538153,0.8253012048192772,9,498
baseline,1,0.10925,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\baseline.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\baseline.log,1.9275379307522482,1.880607433151648,0.2209442732001819,0.6004098360655737,497,488,2436,494,0.836569634538153,0.8253012048192772,9,498
exit110_mh2_s1,1,0.10925,1.1,2,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit110_mh2_s1.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit110_mh2_s1.log,1.9275379307522482,1.880607433151648,0.2209442732001819,0.6004098360655737,497,488,2436,494,0.836569634538153,0.8253012048192772,9,498
equity_dd_resize,1,0.10925,1.0,2,1,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RESIZE_EXISTING=1;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\equity_dd_resize.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\equity_dd_resize.log,1.5683592622046578,1.7589120936009883,0.23543336338656815,0.5638297872340425,954,1034,2436,494,0.8131077690763057,0.7168674698795181,10,498
open_exit0,0,0.10925,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\open_exit0.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\open_exit0.log,1.5227762144565362,1.7565725298465276,0.21919369445592873,0.6045548654244306,492,483,2436,494,0.8377164759036143,0.8253012048192772,9,498
exit105_mh2_s3,1,0.10925,1.05,2,3,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit105_mh2_s3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit105_mh2_s3.log,0.8642450636474038,1.4983280309379081,0.17865932681370275,0.5671641791044776,813,804,2436,494,0.5836159457831324,0.06224899598393574,9,498
sl05_exit110_mh1_s3,1,0.10925,1.1,1,3,GM_STOP_LOSS_PCT=0.05,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\sl05_exit110_mh1_s3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\sl05_exit110_mh1_s3.log,0.8642450636474038,1.4983280309379081,0.17865932681370275,0.5671641791044776,813,804,2436,494,0.5836159457831324,0.06224899598393574,9,498
sl06_exit105_mh2_s2,1,0.10925,1.05,2,2,GM_STOP_LOSS_PCT=0.06,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\sl06_exit105_mh2_s2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\sl06_exit105_mh2_s2.log,0.8925110513616784,1.4631153463352673,0.19752314446949887,0.5587863463969659,801,791,2436,494,0.64346553815261,0.060240963855421686,9,498
exit100_mh2_s2,1,0.10925,1.0,2,2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit100_mh2_s2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit100_mh2_s2.log,0.8925110513616784,1.463115346335267,0.19752314446949887,0.5587863463969659,801,791,2436,494,0.64346553815261,0.060240963855421686,9,498
exit110_mh2_s2,1,0.10925,1.1,2,2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit110_mh2_s2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit110_mh2_s2.log,0.8925110513616784,1.463115346335267,0.19752314446949887,0.5587863463969659,801,791,2436,494,0.64346553815261,0.060240963855421686,9,498
exit100_mh1_s2,1,0.10925,1.0,1,2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit100_mh1_s2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit100_mh1_s2.log,0.8925110513616784,1.463115346335267,0.19752314446949887,0.5587863463969659,801,791,2436,494,0.64346553815261,0.060240963855421686,9,498
exit105_mh2_s2,1,0.10925,1.05,2,2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\signals\exit105_mh2_s2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_weak_pool_exit_refine_20260621\logs\exit105_mh2_s2.log,0.8925110513616784,1.4631153463352669,0.19752314446949887,0.5587863463969659,801,791,2436,494,0.64346553815261,0.060240963855421686,9,498
