signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,entry_score,pred_1d,pred_3d,pred_5d,pred_10d,rank_1d,rank_3d,rank_5d,rank_10d,amount,turnover_rate,total_mv,atr_qfq,target_pct,holding_days,max_holding_days,score_exit_entry_ratio,min_holding_days_before_score_exit
20240604,20240605,SZSE.300266,300266.SZ,兴源环境,1,1.0,0.9999810606060606,0.762544972543079,0.9999772770308654,0.999810641923878,1.0,0.7625,1.0,0.999810606060606,1.0,106088.109,5.336,201994.9508,nan,0.99000,5,5,0.98000,1
20240605,20240606,SHSE.600022,600022.SH,山东钢铁,1,1.0,0.9997917849706607,0.982778198334595,0.9997501892505678,0.9979182437547313,1.0,0.9827749384819231,1.0,0.9979178497066061,1.0,98423.959,0.7752,1251765.3978,nan,0.99000,5,5,0.98000,1
20240606,20240607,SZSE.300102,300102.SZ,乾照光电,1,1.0,0.9999621427219383,0.9981074943224829,0.9999545798637396,0.9996214988644966,1.0,0.9981071360969146,1.0,0.999621427219383,1.0,197534.714,3.4977,557459.7836,nan,0.99000,5,5,0.98000,1
20240607,20240611,SZSE.002368,002368.SZ,太极股份,1,0.9999998565197429,0.9996590909090909,0.8894148835447832,0.9996667297860253,1.0,0.9996212838477561,0.7865530303030303,1.0,1.0,0.9996212121212121,149795.687,1.1953,1251448.4223,nan,0.99000,5,5,0.98000,1
20240611,20240612,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.8895095625828442,1.0,1.0,1.0,0.7867424242424242,1.0,1.0,1.0,314943.928,2.4374,1328105.8705,nan,0.99000,5,5,0.98000,1
20240612,20240613,SZSE.002368,002368.SZ,太极股份,1,0.9999999641842227,0.9998296744890235,0.993755912961211,0.9998334910122989,1.0,0.9998107852412488,0.9937547312641938,0.9998107494322483,1.0,0.9998107494322483,272254.947,2.0659,1333091.7208,nan,0.99000,5,5,0.98000,1
20240613,20240614,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9918653045781309,1.0,1.0,1.0,0.9918637653736991,1.0,1.0,1.0,218084.235,1.6584,1333714.952,nan,0.99000,5,5,0.98000,1
20240614,20240617,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9981089258698941,1.0,1.0,1.0,0.9981085681861169,1.0,1.0,1.0,296645.169,2.2011,1358644.2035,nan,0.99000,5,5,0.98000,1
20240617,20240618,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9986759977302818,1.0,1.0,1.0,0.998675747256905,1.0,1.0,1.0,292887.942,2.1377,1392298.6929,nan,0.99000,5,5,0.98000,1
20240618,20240619,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9869491204842066,1.0,1.0,1.0,0.9869466515323496,1.0,1.0,1.0,210292.769,1.5091,1410372.4002,nan,0.99000,5,5,0.98000,1
20240619,20240620,SZSE.002368,002368.SZ,太极股份,1,0.9999999642248569,0.9998297711367505,1.0,0.9998335854765507,1.0,0.9998108925869894,1.0,0.9998108568186117,1.0,0.9998108568186117,154424.734,1.1128,1390428.9991,nan,0.99000,5,5,0.98000,1
20240620,20240621,SZSE.002368,002368.SZ,太极股份,1,0.9999999642248569,0.9998297711367505,1.0,0.9998335854765507,1.0,0.9998108925869894,1.0,0.9998108568186117,1.0,0.9998108568186117,164714.831,1.2041,1362383.5912,nan,0.99000,5,5,0.98000,1
20240621,20240624,SHSE.600567,600567.SH,山鹰国际,1,1.0,0.9999810856818612,0.99357034795764,0.9999773071104388,0.9998108925869894,1.0,0.9935691318327974,1.0,0.9998108568186117,1.0,193820.665,3.1825,594586.1196,nan,0.99000,5,5,0.98000,1
20240624,20240625,SHSE.601588,601588.SH,北辰实业,1,1.0,0.999981089258699,0.6295140858385329,0.999977311401021,0.9998109283418416,1.0,0.5601361573373677,1.0,0.9998108925869894,1.0,90720.813,2.5217,454547.7,nan,0.99000,5,5,0.98000,1
20240625,20240626,SZSE.002368,002368.SZ,太极股份,1,0.999999677535962,0.9994510694681052,0.9998107494322483,0.9994549583648751,0.9996214988644966,0.9994322482967449,0.9998107136096914,0.9998107136096914,0.999621427219383,0.9994321408290744,145868.286,1.1365,1275131.2112,nan,0.99000,5,5,0.98000,1
20240626,20240627,SZSE.002368,002368.SZ,太极股份,1,1.0,0.9998298676748583,0.9954639954639954,0.9997958797958798,0.9982989982989983,1.0,0.9954631379962193,1.0,0.9982986767485822,1.0,227502.483,1.7268,1359267.4348,nan,0.99000,5,5,0.98000,1
20240627,20240628,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9943278502552467,1.0,1.0,1.0,0.9943267776096822,1.0,1.0,1.0,270382.913,1.9907,1377341.1421,nan,0.99000,5,5,0.98000,1
20240628,20240701,SZSE.002368,002368.SZ,太极股份,1,0.9999999642654221,0.9997920604914935,0.9948969948969949,0.9997883197883198,0.9996219996219996,0.9998109998109999,0.9948960302457467,0.9998109640831758,0.9996219281663516,0.9998109640831758,385436.102,2.7631,1405386.5499,nan,0.99000,5,5,0.98000,1
20240701,20240702,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,0.9943278502552467,1.0,1.0,1.0,0.9943267776096822,1.0,1.0,1.0,178643.773,1.3041,1391675.4616,nan,0.99000,5,5,0.98000,1
20240702,20240703,SZSE.300619,300619.SZ,金银河,1,0.9999982483434959,0.9987521270561542,0.7449905482041588,0.9987674858223062,0.9994328922495274,0.9986767485822307,0.7430516165626773,0.9986764983928909,0.9994327850255247,0.9986764983928909,122818.763,5.5196,265416.4019,nan,0.99000,5,5,0.98000,1
20240703,20240704,SZSE.300736,300736.SZ,百邦科技,1,0.9999991066355538,0.9991115311909263,0.9922509922509922,0.9991230391230391,0.9996219996219996,0.9990549990549991,0.9922495274102079,0.999054820415879,0.9996219281663516,0.999054820415879,162146.801,11.1792,144503.2193,nan,0.99000,5,5,0.98000,1
20240704,20240705,SZSE.300619,300619.SZ,金银河,1,0.999999678510357,0.9994518994518995,0.9986772486772487,0.9994557823129252,0.9996220710506425,0.9994331065759637,0.9986769986769987,0.9994329994329995,0.9996219996219996,0.9994329994329995,48180.697,2.2667,254842.5765,nan,0.99000,5,5,0.98000,1
20240705,20240708,SZSE.301315,301315.SZ,威士顿,1,0.999999678510357,0.9994896994896995,0.9931972789115646,0.9995011337868481,1.0,0.9994331065759637,0.9931959931959932,0.9998109998109999,1.0,0.9994329994329995,94525.96,8.6196,263560.0,nan,0.99000,5,5,0.98000,1
20240708,20240709,SZSE.300736,300736.SZ,百邦科技,1,0.9999998569535454,0.9996596066565809,0.9914917753828701,0.9996672338816411,1.0,0.9996218566836831,0.9914901664145235,0.9998108925869894,1.0,0.9996217851739788,144680.212,11.6355,121611.6202,nan,0.99000,5,5,0.98000,1
