case_name,target_pct,exit_ratio,continue_ratio,holding_days,max_holding_days,stop_loss,take_profit,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,full_annual,full_sharpe,full_max_drawdown,full_avg_invested_pct,recent60_annual,recent60_sharpe,recent60_max_drawdown,late_min_annual,late_median_annual,late_max_drawdown_max,signal_rows,signal_days,latest_signal_date,latest_buy_date
pos8975_scale7555,0.8975,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.75,0.55,7.459076807493107,1.9693988577905104,0.39254303902668514,0.4038986714285714,0.46815211653029243,0.9166854801582893,0.21657751211335255,1.7075672317942099,1.9043210143806077,0.2170070223528279,496,496,20260622,20260623
pos90_scale7454,0.9,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.74,0.54,7.425274687992735,1.9702821782201432,0.3893696317365107,0.40256956326530624,0.47071493333663184,0.9233243859699056,0.21574215381953757,1.7106492037353567,1.9195937919004171,0.21597270258838108,496,496,20260622,20260623
pos895_scale7555,0.895,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.75,0.55,7.418208625143534,1.9726927591198002,0.3917144710003239,0.4028009489795921,0.46609202409026945,0.9156147968091227,0.2161457424061204,1.7032047862103157,1.8995303555440206,0.21644531618454402,496,496,20260622,20260623
pos8975_scale7454,0.8975,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.74,0.54,7.346904849214334,1.9692353976447912,0.38845097325100786,0.40136573061224506,0.4792022039568318,0.9428424611613024,0.213940009069172,1.7071702405049411,1.9108111179332887,0.21527571208296165,496,496,20260622,20260623
pos895_scale7353,0.895,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.73,0.53,7.3168636942481955,1.9822732085943584,0.3833803755883876,0.3988004775510204,0.48633539041079776,0.9635578006321522,0.21221472082005943,1.6952021107515294,1.844990662532735,0.21286802485079873,496,496,20260622,20260623
pos895_scale7454,0.895,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.74,0.54,7.308401043566449,1.9722439248350594,0.38760753700610523,0.4002894122448977,0.47806613720553603,0.9440722356226134,0.21333914554456843,1.6962612432446122,1.9041068713522473,0.21452485676342561,496,496,20260622,20260623
pos8975_scale7353,0.8975,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.73,0.53,7.28297826985549,1.9755672740483265,0.3843029712011616,0.3984250918367346,0.48771082856719844,0.9628247660340414,0.212618845261877,1.7033783876983655,1.8509660593969344,0.2136368823877434,496,496,20260622,20260623
base_pos89_scale7050,0.89,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.7,0.5,7.000706890387421,1.9946529276253473,0.36909415491667646,0.39195102244897956,0.5072265064155717,1.0252148343830427,0.20604146828600878,1.6728645483294133,1.8060661571854664,0.20676789066145,496,496,20260622,20260623
pos90_scale7353,0.9,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.73,0.53,6.947810194687887,1.9606123938674485,0.39928665450246603,0.398505,0.48696117876780454,0.9589006530867159,0.21318531882064676,1.702656780466744,1.8611971813574193,0.21406563226524777,496,496,20260622,20260623
pos90_scale7252,0.9,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.72,0.52,6.825901316803364,1.9592355921364188,0.39637560040541125,0.3959067489795919,0.4906541679299851,0.9704636086409556,0.21187198867981208,1.7021880072837718,1.84970944125155,0.2124353411180828,496,496,20260622,20260623
pos905_scale7252,0.905,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.72,0.52,6.725210593610915,1.9524905346270394,0.3981552168315426,0.3980733897959186,0.4963987423762423,0.9754046624586213,0.21278514914312113,1.7144157724524203,1.8652162933208856,0.21323626119196656,496,496,20260622,20260623
pos9025_scale7252,0.9025,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.72,0.52,6.668325329681828,1.954792053436752,0.3973963472353024,0.39702901020408143,0.4991684621383633,0.98327983095237,0.21236691000948424,3.29520870394687,3.29520870394687,0.21286186482962294,496,496,20260622,20260623
pos90_scale7555,0.9,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.75,0.55,7.139280345454649,1.9551532312362554,0.40513775152673953,0.40408329387755143,0.4667178124472762,0.9112942653629064,0.21711016356185897,1.7117167203235653,1.9126236118798108,0.21759610730023524,496,496,20260622,20260623
pos90_dd065115_scale7555,0.9,0.97,0.975,2,3,0.06,0.07,0.065,0.115,0.03,0.75,0.55,7.099727885716736,1.9604184758284628,0.4051448272127315,0.40288370204081614,0.4667178124472762,0.9112942653629064,0.21711016356185897,1.7176305050081395,1.9282481193341487,0.21750699924133435,496,496,20260622,20260623
pos8975_dd065115_scale7555,0.8975,0.97,0.975,2,3,0.06,0.07,0.065,0.115,0.03,0.75,0.55,7.061387896135606,1.963324732292211,0.4041254051894212,0.4017913836734694,0.46815211653029243,0.9166854801582893,0.21657751211335255,1.7133167446819906,1.9213438315503086,0.21698926739346525,496,496,20260622,20260623
pos9025_scale7353,0.9025,0.97,0.975,2,3,0.06,0.07,0.07,0.12,0.03,0.73,0.53,,,,,,,,,,nan,496,496,20260622,20260623
