signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,entry_score,pred_3d,pred_5d,pred_10d,rank_3d,rank_5d,rank_10d,amount,turnover_rate,total_mv,atr_qfq,target_pct,holding_days,max_holding_days,score_exit_entry_ratio,min_holding_days_before_score_exit,score_continue_entry_ratio,signal_stop_loss_pct,signal_take_profit_pct,strategy_variant,filter_name,entry_weight_name,dynamic_hold_name,buy_day_market_available,buy_day_hard_gate_complete,buy_day_st_rejected,buy_day_open_limit_up_rejected,latest_market_date
20240604,20240605,SZSE.300266,300266.SZ,兴源环境,1,0.9999829545454546,0.9999829545454546,0.9999772770308654,0.999810641923878,1.0,1.0,0.999810606060606,1.0,106088.109,5.336,201994.9508,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240605,20240606,SHSE.600022,600022.SH,山东钢铁,1,0.9998126064735946,0.9998126064735946,0.9997501892505678,0.9979182437547313,1.0,1.0,0.9979178497066061,1.0,98423.959,0.7752,1251765.3978,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240606,20240607,SZSE.300102,300102.SZ,乾照光电,1,0.9999659284497444,0.9999659284497444,0.9999545798637396,0.9996214988644966,1.0,1.0,0.999621427219383,1.0,197534.714,3.4977,557459.7836,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240607,20240611,SZSE.002368,002368.SZ,太极股份,1,0.9996818181818181,0.9996818181818181,0.9996667297860253,1.0,0.9996212838477561,1.0,1.0,0.9996212121212121,149795.687,1.1953,1251448.4223,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240611,20240612,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,314943.928,2.4374,1328105.8705,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240612,20240613,SZSE.002368,002368.SZ,太极股份,1,0.999827781983346,0.999827781983346,0.9998334910122989,1.0,0.9998107852412488,0.9998107494322483,1.0,0.9998107494322483,272254.947,2.0659,1333091.7208,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240613,20240614,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,218084.235,1.6584,1333714.952,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240614,20240617,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,296645.169,2.2011,1358644.2035,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240617,20240618,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,292887.942,2.1377,1392298.6929,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240618,20240619,SZSE.002368,002368.SZ,太极股份,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210292.769,1.5091,1410372.4002,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240619,20240620,SZSE.002368,002368.SZ,太极股份,1,0.9998278797049366,0.9998278797049366,0.9998335854765507,1.0,0.9998108925869894,0.9998108568186117,1.0,0.9998108568186117,154424.734,1.1128,1390428.9991,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240620,20240621,SZSE.002368,002368.SZ,太极股份,1,0.9998278797049366,0.9998278797049366,0.9998335854765507,1.0,0.9998108925869894,0.9998108568186117,1.0,0.9998108568186117,164714.831,1.2041,1362383.5912,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240621,20240624,SHSE.600567,600567.SH,山鹰国际,1,0.999982977113675,0.999982977113675,0.9999773071104388,0.9998108925869894,1.0,1.0,0.9998108568186117,1.0,193820.665,3.1825,594586.1196,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
20240624,20240625,SHSE.601588,601588.SH,北辰实业,1,0.9999829803328291,0.9999829803328291,0.999977311401021,0.9998109283418416,1.0,1.0,0.9998108925869894,1.0,90720.813,2.5217,454547.7,,0.90000,2,3,0.97000,1,0.97000,0.06000,0.07000,w84_09_07_amt90_mv20__exec_c097_pos90_dd12,amt90k_mv20w,w84_5d09_3d07,h2_m3_c0975,True,True,False,False,20260625
