signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,atr_ratio,holding_days,target_pct,score_exit_entry_ratio,min_holding_days_before_score_exit,weak_mode
20240604,20240605,SZSE.002052,002052.SZ,同洲电子,1,2.999242567695512,,7,0.21000,1.0,3,primary_count_le1
20240604,20240605,SZSE.300368,300368.SZ,汇金股份,2,2.9974247301647416,,7,0.21000,1.0,3,primary_count_le1
20240604,20240605,SZSE.300300,300300.SZ,海峡创新,3,1.996591554629805,,7,0.20000,1.0,3,primary_count_le1
20240604,20240605,SZSE.002197,002197.SZ,证通电子,4,1.9963643249384586,,7,0.19000,1.0,3,primary_count_le1
20240604,20240605,SZSE.300013,300013.SZ,新宁物流,5,1.9949252035599319,,7,0.19000,1.0,3,primary_count_le1
20240605,20240606,SZSE.000506,000506.SZ,招金黄金,1,2.9851627554882665,,7,0.21000,1.0,3,primary_count_le1
20240605,20240606,SHSE.603879,603879.SH,永悦科技,2,2.982683573050719,,7,0.21000,1.0,3,primary_count_le1
20240605,20240606,SZSE.300300,300300.SZ,海峡创新,3,1.9793716881150645,,7,0.20000,1.0,3,primary_count_le1
20240605,20240606,SHSE.600234,600234.SH,科新发展,4,1.9790688872066617,,7,0.19000,1.0,3,primary_count_le1
20240605,20240606,SZSE.300368,300368.SZ,汇金股份,5,1.9776684330052992,,7,0.19000,1.0,3,primary_count_le1
20240606,20240607,SHSE.603879,603879.SH,永悦科技,1,2.993319454958365,,7,0.21000,1.0,3,primary_count_le1
20240606,20240607,SZSE.300165,300165.SZ,天瑞仪器,2,2.9917486752460256,,7,0.21000,1.0,3,primary_count_le1
20240606,20240607,SZSE.300300,300300.SZ,海峡创新,3,1.9908024224072673,,7,0.20000,1.0,3,primary_count_le1
20240606,20240607,SZSE.002742,002742.SZ,三圣股份,4,1.9907645722937168,,7,0.19000,1.0,3,primary_count_le1
20240606,20240607,SZSE.300137,300137.SZ,先河环保,5,1.9906131718395155,,7,0.19000,1.0,3,primary_count_le1
20240607,20240611,SHSE.603879,603879.SH,永悦科技,1,2.997765574701761,,7,0.21000,1.0,3,primary_count_le1
20240607,20240611,SZSE.300165,300165.SZ,天瑞仪器,2,2.9976140882408635,,7,0.21000,1.0,3,primary_count_le1
20240607,20240611,SZSE.300300,300300.SZ,海峡创新,3,1.9959098655557659,,7,0.20000,1.0,3,primary_count_le1
20240607,20240611,SHSE.600234,600234.SH,科新发展,4,1.99473584548381,,7,0.19000,1.0,3,primary_count_le1
20240607,20240611,SZSE.300368,300368.SZ,汇金股份,5,1.992425676955122,,7,0.19000,1.0,3,primary_count_le1
20240611,20240612,SHSE.603879,603879.SH,永悦科技,1,2.9983715205453514,,7,0.21000,1.0,3,primary_count_le1
20240611,20240612,SZSE.300300,300300.SZ,海峡创新,2,2.9976708956637,,7,0.21000,1.0,3,primary_count_le1
20240611,20240612,SZSE.300165,300165.SZ,天瑞仪器,3,1.9965536830145807,,7,0.20000,1.0,3,primary_count_le1
20240611,20240612,SZSE.300368,300368.SZ,汇金股份,4,1.9950009467903806,,7,0.19000,1.0,3,primary_count_le1
20240611,20240612,SZSE.000679,000679.SZ,大连友谊,5,1.9922741904942245,,7,0.19000,1.0,3,primary_count_le1
20240612,20240613,SZSE.002861,002861.SZ,瀛通通讯,1,2.998864711447493,,7,0.21000,1.0,3,primary_count_le1
20240612,20240613,SHSE.603879,603879.SH,永悦科技,2,2.9976348155156103,,7,0.21000,1.0,3,primary_count_le1
20240612,20240613,SZSE.300368,300368.SZ,汇金股份,3,1.9957615894039735,,7,0.20000,1.0,3,primary_count_le1
20240612,20240613,SZSE.300300,300300.SZ,海峡创新,4,1.9947398297067171,,7,0.19000,1.0,3,primary_count_le1
20240612,20240613,SZSE.300165,300165.SZ,天瑞仪器,5,1.9936802270577105,,7,0.19000,1.0,3,primary_count_le1
20240613,20240614,SZSE.002861,002861.SZ,瀛通通讯,1,2.9991108588724935,,7,0.21000,1.0,3,primary_count_le1
20240613,20240614,SHSE.603879,603879.SH,永悦科技,2,2.9970298902762016,,7,0.21000,1.0,3,primary_count_le1
20240613,20240614,SZSE.300368,300368.SZ,汇金股份,3,1.9960272417707152,,7,0.20000,1.0,3,primary_count_le1
20240613,20240614,SZSE.300165,300165.SZ,天瑞仪器,4,1.9950813469542186,,7,0.19000,1.0,3,primary_count_le1
20240613,20240614,SZSE.300266,300266.SZ,兴源环境,5,1.9927733636019676,,7,0.19000,1.0,3,primary_count_le1
20240614,20240617,SZSE.300511,300511.SZ,雪榕生物,1,2.9972201210287444,,7,0.21000,1.0,3,primary_count_le1
20240614,20240617,SZSE.300839,300839.SZ,博汇股份,2,2.9971633888048412,,7,0.21000,1.0,3,primary_count_le1
20240614,20240617,SHSE.603879,603879.SH,永悦科技,3,1.9969364599092283,,7,0.20000,1.0,3,primary_count_le1
20240614,20240617,SZSE.300368,300368.SZ,汇金股份,4,1.9956505295007565,,7,0.19000,1.0,3,primary_count_le1
20240614,20240617,SZSE.300266,300266.SZ,兴源环境,5,1.9952723146747353,,7,0.19000,1.0,3,primary_count_le1
20240617,20240618,SHSE.603879,603879.SH,永悦科技,1,2.996954794779648,,7,0.21000,1.0,3,primary_count_le1
20240617,20240618,SZSE.300511,300511.SZ,雪榕生物,2,2.996084736145262,,7,0.21000,1.0,3,primary_count_le1
20240617,20240618,SZSE.300266,300266.SZ,兴源环境,3,1.9968980518252317,,7,0.20000,1.0,3,primary_count_le1
20240617,20240618,SZSE.300368,300368.SZ,汇金股份,4,1.9955362209192358,,7,0.19000,1.0,3,primary_count_le1
20240617,20240618,SZSE.300165,300165.SZ,天瑞仪器,5,1.9952714204652922,,7,0.19000,1.0,3,primary_count_le1
20240618,20240619,SZSE.000506,000506.SZ,招金黄金,1,2.9996406279553622,,7,0.21000,1.0,3,primary_count_le1
20240618,20240619,SZSE.002052,002052.SZ,同洲电子,2,2.9990353697749197,,7,0.21000,1.0,3,primary_count_le1
20240618,20240619,SHSE.603879,603879.SH,永悦科技,3,1.9962549650085113,,7,0.20000,1.0,3,primary_count_le1
20240618,20240619,SZSE.300266,300266.SZ,兴源环境,4,1.994628333648572,,7,0.19000,1.0,3,primary_count_le1
20240618,20240619,SZSE.300165,300165.SZ,天瑞仪器,5,1.994287875922073,,7,0.19000,1.0,3,primary_count_le1
20240619,20240620,SZSE.000506,000506.SZ,招金黄金,1,2.999262481089259,,7,0.21000,1.0,3,primary_count_le1
20240619,20240620,SZSE.002052,002052.SZ,同洲电子,2,2.999054462934947,,7,0.21000,1.0,3,primary_count_le1
20240619,20240620,SZSE.300600,300600.SZ,国瑞科技,3,1.997730711043873,,7,0.20000,1.0,3,primary_count_le1
20240619,20240620,SZSE.300266,300266.SZ,兴源环境,4,1.9960287443267777,,7,0.19000,1.0,3,primary_count_le1
20240619,20240620,SHSE.603879,603879.SH,永悦科技,5,1.9956505295007565,,7,0.19000,1.0,3,primary_count_le1
20240620,20240621,SZSE.000506,000506.SZ,招金黄金,1,2.9986195158850224,,7,0.21000,1.0,3,primary_count_le1
20240620,20240621,SZSE.002052,002052.SZ,同洲电子,2,2.9982413010590014,,7,0.21000,1.0,3,primary_count_le1
20240620,20240621,SZSE.300600,300600.SZ,国瑞科技,3,1.999697428139183,,7,0.20000,1.0,3,primary_count_le1
20240620,20240621,SZSE.300511,300511.SZ,雪榕生物,4,1.9956883509833585,,7,0.19000,1.0,3,primary_count_le1
20240620,20240621,SZSE.300266,300266.SZ,兴源环境,5,1.9952723146747353,,7,0.19000,1.0,3,primary_count_le1
20240621,20240624,SZSE.000506,000506.SZ,招金黄金,1,2.9981845688350983,,7,0.21000,1.0,3,primary_count_le1
20240621,20240624,SZSE.002052,002052.SZ,同洲电子,2,2.9981656580937974,,7,0.21000,1.0,3,primary_count_le1
20240621,20240624,SHSE.603030,603030.SH,全筑股份,3,1.9997352496217853,,7,0.20000,1.0,3,primary_count_le1
20240621,20240624,SHSE.603879,603879.SH,永悦科技,4,1.995499243570348,,7,0.19000,1.0,3,primary_count_le1
20240621,20240624,SZSE.300266,300266.SZ,兴源环境,5,1.995234493192133,,7,0.19000,1.0,3,primary_count_le1
20240624,20240625,SZSE.002486,002486.SZ,嘉麟杰,1,2.999981092834184,,7,0.21000,1.0,3,primary_count_le1
20240624,20240625,SZSE.002052,002052.SZ,同洲电子,2,2.997428625449045,,7,0.21000,1.0,3,primary_count_le1
20240624,20240625,SZSE.002629,002629.SZ,仁智股份,3,1.9964076384949896,,7,0.20000,1.0,3,primary_count_le1
20240624,20240625,SZSE.300266,300266.SZ,兴源环境,4,1.996369824163358,,7,0.19000,1.0,3,primary_count_le1
20240624,20240625,SZSE.300511,300511.SZ,雪榕生物,5,1.9962563811684628,,7,0.19000,1.0,3,primary_count_le1
20240625,20240626,SZSE.002052,002052.SZ,同洲电子,1,2.9981264193792585,,7,0.21000,1.0,3,primary_count_le1
20240625,20240626,SZSE.002629,002629.SZ,仁智股份,2,2.997312641937926,,7,0.21000,1.0,3,primary_count_le1
20240625,20240626,SZSE.002640,002640.SZ,跨境通,3,1.9975775927327781,,7,0.20000,1.0,3,primary_count_le1
20240625,20240626,SHSE.603879,603879.SH,永悦科技,4,1.9966313398940196,,7,0.19000,1.0,3,primary_count_le1
