signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,atr_ratio,holding_days,target_pct,score_exit_entry_ratio,min_holding_days_before_score_exit,weak_mode,target_adjustment_scale,max_daily_sells,score_continue_entry_ratio,pred_10d,pred_5d,pred_gap
20240604,20240605,SZSE.300266,300266.SZ,兴源环境,1,3.0079939784131797,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,1.0097898125355047,1.000810641923878,0.0089791706
20240604,20240605,SZSE.300551,300551.SZ,古鳌科技,2,2.9946222306381367,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9945086157924635,0.9950766900208294,0.0005680742
20240604,20240605,SZSE.000679,000679.SZ,大连友谊,3,2.990948683961371,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9907214542700247,0.9918576027267563,0.0011361485
20240605,20240606,SZSE.300269,300269.SZ,联建光电,1,2.9774791824375475,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9774791824375473,0.9774791824375473,0.0000000000
20240605,20240606,SZSE.300551,300551.SZ,古鳌科技,2,2.9752081756245268,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9767221801665406,0.9691521574564723,0.0075700227
20240605,20240606,SZSE.300165,300165.SZ,天瑞仪器,3,2.9683951551854655,,3,0.28000,1.0,1,primary_count_le1,1.000000,1,1.02,0.975775927327782,0.9388720666161998,0.0369038607
20240606,20240607,SZSE.300242,300242.SZ,佳云科技,1,2.99216502649508,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9922407267221802,0.9918622255866768,0.0003785011
20240606,20240607,SZSE.300551,300551.SZ,古鳌科技,2,2.9914458743376233,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9912944738834216,0.9920514761544285,0.0007570023
20240606,20240607,SZSE.000679,000679.SZ,大连友谊,3,2.9908024224072673,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9907267221801666,0.99110522331567,0.0003785011
20240607,20240611,SZSE.300165,300165.SZ,天瑞仪器,1,3.0060533989774663,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,1.0078981253550463,0.9986744934671464,0.0092236319
20240607,20240611,SZSE.300551,300551.SZ,古鳌科技,2,2.995985608786215,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9958341223253172,0.996591554629805,0.0007574323
20240607,20240611,SZSE.300269,300269.SZ,联建光电,3,2.9948873319447076,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9946979738685855,0.9956447642491952,0.0009467904
20240611,20240612,SZSE.300165,300165.SZ,天瑞仪器,1,3.000681689074039,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,1.0066748721832985,0.9767089566370005,0.0299659155
20240611,20240612,SZSE.300242,300242.SZ,佳云科技,2,2.99197121757243,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9912895284983905,0.9946979738685855,0.0034084454
20240611,20240612,SZSE.002495,002495.SZ,佳隆股份,3,2.990569967809127,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9903427381177807,0.9914788865745124,0.0011361485
20240612,20240613,SZSE.002861,002861.SZ,瀛通通讯,1,3.0068071901608326,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,1.0091712393566699,0.9973509933774835,0.0118202460
20240612,20240613,SZSE.300165,300165.SZ,天瑞仪器,2,2.9942100283822137,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9941343424787134,0.9945127719962157,0.0003784295
20240612,20240613,SZSE.300551,300551.SZ,古鳌科技,3,2.9922043519394514,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,0.9924314096499527,0.9912961210974456,0.0011352886
20240613,20240614,SZSE.002861,002861.SZ,瀛通通讯,1,3.007203934922437,,3,0.28000,1.0,1,primary_count_le1,1.080000,1,1.02,1.0093832765796444,0.9984865682936057,0.0108967083
