name,returncode,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,config_json,env_json,signal_file,log_file,signal_count,buy_days,avg_day_target_sum,min_day_target_sum,max_day_target_sum,role_counts_json,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
repro_current_best,0,4.129590018727238,3.110333718654759,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""repro_current_best"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.08"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""none"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\repro_current_best.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\repro_current_best.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
light04_mh2,0,4.129590018727238,3.110333718654758,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""light04_mh2"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""0.04"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_LIGHT_STOP"": ""2"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.08"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""none"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\light04_mh2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\light04_mh2.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
sl07_tp18,0,4.129590018727238,3.1103337186547573,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""sl07_tp18"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.07"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""0.18"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\sl07_tp18.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\sl07_tp18.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
sl09,0,4.129590018727238,3.110333718654757,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""sl09"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.09"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""none"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\sl09.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\sl09.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
tp18,0,4.129590018727238,3.110333718654757,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""tp18"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.08"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""0.18"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\tp18.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\tp18.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
sl07,0,4.129590018727238,3.1103337186547564,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""sl07"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.07"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""none"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\sl07.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\sl07.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
tp22,0,4.129590018727238,3.1103337186547564,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""tp22"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.08"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""0.22"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\tp22.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\tp22.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
light05_mh2,0,4.129590018727238,3.1103337186547564,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""light05_mh2"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""0.05"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_LIGHT_STOP"": ""2"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.08"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""none"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\light05_mh2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\light05_mh2.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
sl06,0,4.129590018727238,3.1103337186547555,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""sl06"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.06"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""none"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\sl06.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\sl06.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
sl06_tp18,0,4.129590018727238,3.1103337186547555,0.20113614694900914,0.6102941176470589,417,408,"{""holding_days"": 6, ""max_holding_days"": 6, ""max_positions"": 7, ""name"": ""sl06_tp18"", ""per_row_mode"": ""none"", ""target_position_pct"": 0.42}","{""GM_CASH_BUFFER"": ""0.99"", ""GM_EQUITY_DD_HARD_SCALE"": ""0.58"", ""GM_EQUITY_DD_HARD_TRIGGER"": ""0.17"", ""GM_EQUITY_DD_RECOVER_TRIGGER"": ""0.05"", ""GM_EQUITY_DD_RISK_MODE"": ""1"", ""GM_EQUITY_DD_SOFT_SCALE"": ""0.82"", ""GM_EQUITY_DD_SOFT_TRIGGER"": ""0.09"", ""GM_LIGHT_STOP_LOSS_PCT"": ""none"", ""GM_LOG_EXPOSURE"": ""1"", ""GM_MAX_DAILY_SELLS"": ""1"", ""GM_MIN_HOLDING_DAYS_BEFORE_SCORE_EXIT"": ""4"", ""GM_OPEN_DAILY_SCORE_EXIT"": ""1"", ""GM_SCORE_CONTINUE_ENTRY_RATIO"": ""1.02"", ""GM_SCORE_EXIT_ENTRY_RATIO"": ""1.0"", ""GM_SCORE_EXIT_RANK"": ""none"", ""GM_SKIP_OPEN_LIMIT_UP_BUY"": ""1"", ""GM_STOP_LOSS_PCT"": ""0.06"", ""GM_SYNC_POSITIONS"": ""1"", ""GM_TAKE_PROFIT_PCT"": ""0.18"", ""GM_VERBOSE_TRADES"": ""0""}",D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\signals\sl06_tp18.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_10d_current_best_exit_grid_20260622\logs\sl06_tp18.log,1910,427,1.1528144496487158,0.14,1.85802,"{""base"": 596, ""quality"": 579, ""risk"": 735}",0.8011204765784119,0.6517311608961304,9,491
