signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,atr_ratio,holding_days,target_pct,source_manifest,source_table,note
20240604,20240605,SZSE.002607,002607.SZ,中公教育,1,0.9897746638894149,0.052617804007668946,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240604,20240605,SHSE.688728,688728.SH,格科微,2,0.9689452755160007,0.040312574725628436,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240604,20240605,SZSE.300142,300142.SZ,沃森生物,3,0.9625071009278545,0.030043414247686143,6,0.2,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240604,20240605,SZSE.300122,300122.SZ,智飞生物,4,0.9613709524711229,0.026490649068695173,6,0.194,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240604,20240605,SZSE.002131,002131.SZ,利欧股份,5,0.961181594395001,0.03173391800479219,6,0.194,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240605,20240606,SZSE.002607,002607.SZ,中公教育,1,0.9742619227857684,0.060169492874264145,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240606,20240607,SZSE.002607,002607.SZ,中公教育,1,0.984670704012112,0.06153846251857855,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240607,20240611,SZSE.002607,002607.SZ,中公教育,1,0.996402196553683,0.06695906439056283,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240611,20240612,SHSE.601162,601162.SH,天风证券,1,0.9793599697027078,0.025941420182193274,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240611,20240612,SHSE.603688,603688.SH,石英股份,2,0.978981253550464,0.035079077776738264,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240612,20240613,SZSE.002607,002607.SZ,中公教育,1,0.9888363292336803,0.06347150643197076,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240612,20240613,SHSE.601162,601162.SH,天风证券,2,0.9810785241248817,0.027848101547871842,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240612,20240613,SZSE.002131,002131.SZ,利欧股份,3,0.9576158940397351,0.0372995574406737,6,0.2,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240613,20240614,SZSE.002607,002607.SZ,中公教育,1,0.9894059780552402,0.065608465943441,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240613,20240614,SHSE.601162,601162.SH,天风证券,2,0.986568293605751,0.030701753896739886,6,0.206,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240613,20240614,SZSE.002131,002131.SZ,利欧股份,3,0.9774877033673856,0.039898842390521716,6,0.2,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
20240613,20240614,SHSE.603077,603077.SH,和邦生物,4,0.9513810064320848,0.031179315850659372,6,0.194,D:/work/quant/quant_mcp/quant/main/config/prediction_manifests/executable_10d_open_return_l4_formal_20260617.json,stock_predict_data_model_agent_10d_topgate_fusion_20260622_executable_10d_open_return_research,??formal L4 10D??????????????????/ST/??/???????????????????
