signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,atr_ratio,holding_days,target_pct,trade_date,pred_5d,pred_10d,total_mv,amount,turnover_rate,atr_qfq,close,pred_gap,pool_role,reweight_scale,base_target_pct,max_holding_days,risk_role,signal_score_exit_entry_ratio,signal_min_holding_days_before_score_exit,signal_score_continue_entry_ratio
20240604,20240605,SZSE.300163,300163.SZ,先锋新材,2,0.13654619455337524,,6,0.17548,20240604,0.05413400009274483,0.1369175910949707,54984.0,45739.937,9.7519,,1.1600000431915973,0.08278359100222588,weak,0.850000,0.20000,6,risk,,,
20240604,20240605,SHSE.600234,600234.SH,科新发展,3,0.08216769993305206,,6,0.42000,20240604,0.05661770701408386,0.12675349414348602,55129.4043,7937.341,1.8971,,2.0999999336116217,0.07013578712940216,weak,1.000000,0.42000,6,risk,,,
20240604,20240605,SHSE.603608,603608.SH,天创时尚,4,0.073703333735466,,6,0.20645,20240604,0.04251546412706375,0.112049400806427,108704.4683,12774.025,1.2091,,2.589999970558147,0.06953393667936325,weak,1.000000,0.20000,6,quality,,,
20240604,20240605,SZSE.300368,300368.SZ,汇金股份,5,0.07255689799785614,,6,0.14452,20240604,0.08570349216461182,0.16455815732479095,107904.4689,57231.119,5.2369,,2.040000005728364,0.07885466516017914,weak,1.000000,0.14000,6,risk,,,
20240605,20240606,SZSE.301105,301105.SZ,鸿铭股份,1,0.12514197826385498,,6,0.32686,20240605,0.01034350786358118,0.0279235877096653,124750.0,17336.662,4.8514,,24.94999879523169,0.017580079846084118,strong,1.000000,0.32000,6,base,,,
20240605,20240606,SHSE.600234,600234.SH,科新发展,2,0.05938578024506569,,6,0.20429,20240605,0.07642586529254913,0.12989597022533417,55654.4463,10756.06,2.4951,,2.119999932979352,0.053470104932785034,weak,1.000000,0.20000,6,quality,,,
20240605,20240606,SZSE.002197,002197.SZ,证通电子,3,0.055763039737939835,,6,0.12155,20240605,0.06458424031734467,0.12385294586420059,196596.137,163113.638,9.6929,,3.200000119384169,0.059268705546855927,weak,0.850000,0.14000,6,risk,,,
20240605,20240606,SHSE.603608,603608.SH,天创时尚,4,0.05432688072323799,,6,0.20429,20240605,0.044630203396081924,0.11071444302797318,110803.0102,12839.86,1.1622,,2.639999969989772,0.06608423963189125,weak,1.000000,0.20000,6,quality,,,
20240605,20240606,SZSE.300165,300165.SZ,天瑞仪器,5,0.046509772539138794,,6,0.14300,20240605,0.03497463837265968,0.11590785533189774,120904.8609,54783.639,5.6259,,2.4399999543732287,0.08093321695923805,weak,1.000000,0.14000,6,risk,,,
20240606,20240607,SHSE.600778,600778.SH,友好集团,1,0.08205222338438034,,6,0.20600,20240606,0.016667252406477928,0.04687406122684479,115563.2916,25070.274,2.1472,,3.7100000319427715,0.03020680882036686,weak,1.000000,0.20600,6,base,,,
20240606,20240607,SHSE.603041,603041.SH,美思德,2,0.07636323571205139,,6,0.20600,20240606,0.016307063400745392,0.04352261498570442,184979.1689,33873.103,1.8232,,9.80372953961444,0.02721555158495903,weak,1.000000,0.20600,6,risk,,,
